From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Subcellular location [CC]	Gene Ontology (cellular component)
P21980	P21980	reviewed	TGM2_HUMAN	Protein-glutamine gamma-glutamyltransferase 2 (EC 2.3.2.13) (Erythrocyte transglutaminase) (Heart G alpha(h)) (hhG alpha(h)) (Isopeptidase TGM2) (EC 3.4.-.-) (Protein G alpha(h)) (G(h)) (Protein-glutamine deamidase TGM2) (EC 3.5.1.44) (Protein-glutamine dopaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine histaminyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine noradrenalinyltransferase TGM2) (EC 2.3.1.-) (Protein-glutamine serotonyltransferase TGM2) (EC 2.3.1.-) (Tissue transglutaminase) (tTG) (tTgase) (Transglutaminase C) (TG(C)) (TGC) (TGase C) (Transglutaminase H) (TGase H) (Transglutaminase II) (TGase II) (Transglutaminase-2) (TG2) (TGase-2) (hTG2)	TGM2	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:24349085, ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Nucleus {ECO:0000269|PubMed:29618516, ECO:0000269|PubMed:9575137}. Chromosome {ECO:0000269|PubMed:9575137}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:12506096, ECO:0000269|PubMed:1683874}. Cell membrane {ECO:0000250|UniProtKB:Q9WVJ6}. Mitochondrion {ECO:0000269|PubMed:24349085}. Note=Mainly localizes to the cytosol (PubMed:9575137). Present at much lower level in the nucleus and chromatin (PubMed:9575137). Also secreted via a non-classical secretion pathway to the extracellular matrix (PubMed:27270573). {ECO:0000269|PubMed:9575137, ECO:0000303|PubMed:27270573}.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, perinuclear region {ECO:0000269|PubMed:17116873}.	chromatin [GO:0000785]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P27352	P27352	reviewed	IF_HUMAN	Cobalamin binding intrinsic factor (Gastric intrinsic factor) (Intrinsic factor) (IF) (INF)	CBLIF GIF IFMH	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	apical plasma membrane [GO:0016324]; endosome [GO:0005768]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosomal lumen [GO:0043202]; microvillus [GO:0005902]
P41159	P41159	reviewed	LEP_HUMAN	Leptin (Obese protein) (Obesity factor)	LEP OB OBS	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:25232147}.	cytosol [GO:0005829]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P78380	P78380	reviewed	OLR1_HUMAN	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	OLR1 CLEC8A LOX1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor. Cell membrane; Single-pass type II membrane protein. Membrane raft. Secreted. Note=A secreted form also exists. Localization to membrane rafts requires palmitoylation.	extracellular region [GO:0005576]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; membrane raft [GO:0045121]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
Q13043	Q13043	reviewed	STK4_HUMAN	Serine/threonine-protein kinase 4 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 1) (MST-1) (STE20-like kinase MST1) (Serine/threonine-protein kinase Krs-2) [Cleaved into: Serine/threonine-protein kinase 4 37kDa subunit (MST1/N); Serine/threonine-protein kinase 4 18kDa subunit (MST1/C)]	STK4 KRS2 MST1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=The caspase-cleaved form cycles between the nucleus and cytoplasm.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q8IW75	Q8IW75	reviewed	SPA12_HUMAN	Serpin A12 (OL-64) (Visceral adipose tissue-derived serine protease inhibitor) (Vaspin) (Visceral adipose-specific serpin)	SERPINA12	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000305|PubMed:28668641}.	extracellular space [GO:0005615]; plasma membrane [GO:0005886]
Q99523	Q99523	reviewed	SORT_HUMAN	Sortilin (100 kDa NT receptor) (Glycoprotein 95) (Gp95) (Neurotensin receptor 3) (NT3) (NTR3)	SORT1	Homo sapiens (Human)	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:16787399, ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endosome membrane {ECO:0000269|PubMed:18817523}; Single-pass type I membrane protein {ECO:0000305}. Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Nucleus membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Cell membrane; Single-pass type I membrane protein; Extracellular side. Lysosome membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}. Note=Localized to membranes of the endoplasmic reticulum, endosomes, Golgi stack, lysosomes and nucleus. A small fraction of the protein is also localized to the plasma membrane. May also be found in SLC2A4/GLUT4 storage vesicles (GSVs) in adipocytes. Localization to the plasma membrane in adipocytes may be enhanced by insulin.	cell surface [GO:0009986]; cerebellar climbing fiber to Purkinje cell synapse [GO:0150053]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; trans-Golgi network transport vesicle [GO:0030140]
Q9BQR3	Q9BQR3	reviewed	PRS27_HUMAN	Serine protease 27 (EC 3.4.21.-) (Marapsin) (Pancreasin)	PRSS27 MPN UNQ1884/PRO4327	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; plasma membrane [GO:0005886]
Q9BUD6	Q9BUD6	reviewed	SPON2_HUMAN	Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin)	SPON2 DIL1 UNQ435/PRO866	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]
Q9UEW3	Q9UEW3	reviewed	MARCO_HUMAN	Macrophage receptor MARCO (Macrophage receptor with collagenous structure) (Scavenger receptor class A member 2)	MARCO SCARA2	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9468508}; Single-pass type II membrane protein {ECO:0000305}.	collagen trimer [GO:0005581]; cytoplasm [GO:0005737]; endocytic vesicle membrane [GO:0030666]; plasma membrane [GO:0005886]
Q9UK05	Q9UK05	reviewed	GDF2_HUMAN	Growth/differentiation factor 2 (GDF-2) (Bone morphogenetic protein 9) (BMP-9)	GDF2 BMP9	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:18309101, ECO:0000269|PubMed:21710321, ECO:0000269|PubMed:25237187}.	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P35247	P35247	reviewed	SFTPD_HUMAN	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D)	SFTPD COLEC7 PSPD SFTP4	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix. Secreted, extracellular space, surface film.	clathrin-coated endocytic vesicle [GO:0045334]; collagen trimer [GO:0005581]; endocytic vesicle [GO:0030139]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; lysosome [GO:0005764]; multivesicular body [GO:0005771]; rough endoplasmic reticulum [GO:0005791]
P16112	P16112	reviewed	PGCA_HUMAN	Aggrecan core protein (Cartilage-specific proteoglycan core protein) (CSPCP) (Chondroitin sulfate proteoglycan core protein 1) (Chondroitin sulfate proteoglycan 1) [Cleaved into: Aggrecan core protein 2]	ACAN AGC1 CSPG1 MSK16	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.	collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; Golgi lumen [GO:0005796]; lysosomal lumen [GO:0043202]
Q07108	Q07108	reviewed	CD69_HUMAN	Early activation antigen CD69 (Activation inducer molecule) (AIM) (BL-AC/P26) (C-type lectin domain family 2 member C) (EA1) (Early T-cell activation antigen p60) (GP32/28) (Leukocyte surface antigen Leu-23) (MLR-3) (CD antigen CD69)	CD69 CLEC2C	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane; Single-pass type II membrane protein.	external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P10145	P10145	reviewed	IL8_HUMAN	Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8) (Emoctakin) (Granulocyte chemotactic protein 1) (GCP-1) (Monocyte-derived neutrophil chemotactic factor) (MDNCF) (Monocyte-derived neutrophil-activating peptide) (MONAP) (Neutrophil-activating protein 1) (NAP-1) (Protein 3-10C) (T-cell chemotactic factor) [Cleaved into: MDNCF-a (GCP/IL-8 protein IV) (IL8/NAP1 form I); Interleukin-8 ((Ala-IL-8)77) (GCP/IL-8 protein II) (IL-8(1-77)) (IL8/NAP1 form II) (MDNCF-b); IL-8(5-77); IL-8(6-77) ((Ser-IL-8)72) (GCP/IL-8 protein I) (IL8/NAP1 form III) (Lymphocyte-derived neutrophil-activating factor) (LYNAP) (MDNCF-c) (Neutrophil-activating factor) (NAF); IL-8(7-77) (GCP/IL-8 protein V) (IL8/NAP1 form IV); IL-8(8-77) (GCP/IL-8 protein VI) (IL8/NAP1 form V); IL-8(9-77) (GCP/IL-8 protein III) (IL8/NAP1 form VI)]	CXCL8 IL8	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]
P21583	P21583	reviewed	SCF_HUMAN	Kit ligand (Mast cell growth factor) (MGF) (Stem cell factor) (SCF) (c-Kit ligand) [Cleaved into: Soluble KIT ligand (sKITLG)]	KITLG MGF SCF	Homo sapiens (Human)	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm {ECO:0000269|PubMed:26522471}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:26522471}; Single-pass type I membrane protein {ECO:0000250}. Cell projection, lamellipodium {ECO:0000269|PubMed:26522471}. Cell projection, filopodium {ECO:0000269|PubMed:26522471}.; SUBCELLULAR LOCATION: [Soluble KIT ligand]: Secreted.	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; filopodium [GO:0030175]; lamellipodium [GO:0030027]; plasma membrane [GO:0005886]
P42830	P42830	reviewed	CXCL5_HUMAN	C-X-C motif chemokine 5 (ENA-78(1-78)) (Epithelial-derived neutrophil-activating protein 78) (Neutrophil-activating peptide ENA-78) (Small-inducible cytokine B5) [Cleaved into: ENA-78(8-78); ENA-78(9-78)]	CXCL5 ENA78 SCYB5	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	extracellular region [GO:0005576]; extracellular space [GO:0005615]
Q13541	Q13541	reviewed	4EBP1_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)		cytoplasm [GO:0005737]; cytosol [GO:0005829]
A6NI73	A6NI73	reviewed	LIRA5_HUMAN	Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f)	LILRA5 ILT11 LILRB7 LIR9	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12393390}; Single-pass type I membrane protein {ECO:0000255}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:12393390}.	cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; plasma membrane [GO:0005886]
O00161	O00161	reviewed	SNP23_HUMAN	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	SNAP23	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein. Cell membrane; Lipid-anchor. Synapse, synaptosome. Note=Mainly localized to the plasma membrane.	adherens junction [GO:0005912]; azurophil granule [GO:0042582]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; mitochondrion [GO:0005739]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; specific granule [GO:0042581]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]
O75791	O75791	reviewed	GRAP2_HUMAN	GRB2-related adapter protein 2 (Adapter protein GRID) (GRB-2-like protein) (GRB2L) (GRBLG) (GRBX) (Grf40 adapter protein) (Grf-40) (Growth factor receptor-binding protein) (Hematopoietic cell-associated adapter protein GrpL) (P38) (Protein GADS) (SH3-SH2-SH3 adapter Mona)	GRAP2 GADS GRB2L GRID	Homo sapiens (Human)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21179510}. Cytoplasm {ECO:0000269|PubMed:21179510}. Endosome {ECO:0000269|PubMed:21179510}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
O95502	O95502	reviewed	NPTXR_HUMAN	Neuronal pentraxin receptor	NPTXR	Homo sapiens (Human)	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.	glutamatergic synapse [GO:0098978]; membrane [GO:0016020]
O95544	O95544	reviewed	NADK_HUMAN	NAD kinase (EC 2.7.1.23) (Poly(P)/ATP NAD kinase)	NADK	Homo sapiens (Human)		cytosol [GO:0005829]
O95841	O95841	reviewed	ANGL1_HUMAN	Angiopoietin-related protein 1 (Angiopoietin-3) (ANG-3) (Angiopoietin-like protein 1)	ANGPTL1 ANG3 ANGPT3 ARP1 PSEC0154 UNQ162/PRO188	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10025962}.	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]
P01222	P01222	reviewed	TSHB_HUMAN	Thyrotropin subunit beta (Thyroid-stimulating hormone subunit beta) (TSH-B) (TSH-beta) (Thyrotropin beta chain) (Thyrotropin alfa)	TSHB	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted.	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; pituitary gonadotropin complex [GO:0061696]
P09417	P09417	reviewed	DHPR_HUMAN	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)	QDPR DHPR SDR33C1	Homo sapiens (Human)		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]
P09467	P09467	reviewed	F16P1_HUMAN	Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)	FBP1 FBP	Homo sapiens (Human)		cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]
P09525	P09525	reviewed	ANXA4_HUMAN	Annexin A4 (35-beta calcimedin) (Annexin IV) (Annexin-4) (Carbohydrate-binding protein p33/p41) (Chromobindin-4) (Endonexin I) (Lipocortin IV) (P32.5) (PP4-X) (Placental anticoagulant protein II) (PAP-II) (Protein II)	ANXA4 ANX4	Homo sapiens (Human)	SUBCELLULAR LOCATION: Zymogen granule membrane {ECO:0000250|UniProtKB:P50994}; Peripheral membrane protein {ECO:0000250|UniProtKB:P50994}.	cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; extracellular exosome [GO:0070062]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]
P12724	P12724	reviewed	ECP_HUMAN	Eosinophil cationic protein (ECP) (EC 3.1.27.-) (Ribonuclease 3) (RNase 3)	RNASE3 ECP RNS3	Homo sapiens (Human)	SUBCELLULAR LOCATION: Secreted. Note=Located in the matrix of eosinophil large specific granule, which are released following activation by an immune stimulus.	azurophil granule lumen [GO:0035578]; extracellular region [GO:0005576]; extracellular space [GO:0005615]
P19022	P19022	reviewed	CADH2_HUMAN	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2 CDHN NCAD	Homo sapiens (Human)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P15116}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P15116}. Cell junction {ECO:0000269|PubMed:28169360}. Cell surface {ECO:0000250|UniProtKB:P15116}. Cell junction, desmosome {ECO:0000250|UniProtKB:P15116}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P15116}. Note=Colocalizes with TMEM65 at the intercalated disk in cardiomyocytes. Colocalizes with OBSCN at the intercalated disk and at sarcolemma in cardiomyocytes. {ECO:0000250|UniProtKB:P15116}.	adherens junction [GO:0005912]; apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; basolateral plasma membrane [GO:0016323]; catenin complex [GO:0016342]; cell junction [GO:0030054]; cell surface [GO:0009986]; cell-cell junction [GO:0005911]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; desmosome [GO:0030057]; endoplasmic reticulum lumen [GO:0005788]; fascia adherens [GO:0005916]; focal adhesion [GO:0005925]; intercalated disc [GO:0014704]; lamellipodium [GO:0030027]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]; postsynaptic specialization membrane [GO:0099634]; presynaptic active zone membrane [GO:0048787]; sarcolemma [GO:0042383]
P19971	P19971	reviewed	TYPH_HUMAN	Thymidine phosphorylase (TP) (EC 2.4.2.4) (Gliostatin) (Platelet-derived endothelial cell growth factor) (PD-ECGF) (TdRPase)	TYMP ECGF1	Homo sapiens (Human)		cytosol [GO:0005829]
