From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Subcellular location [CC]	Gene Ontology (cellular component)
A0A024R883	A0A024R883	unreviewed	A0A024R883_HUMAN	V-type proton ATPase subunit G	ATP6V1G1 hCG_29854	Homo sapiens (Human)	118		ATPase complex [GO:1904949]; cytosol [GO:0005829]; lysosomal membrane [GO:0005765]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; proton-transporting V-type ATPase, V1 domain [GO:0033180]; transmembrane transporter complex [GO:1902495]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]
O14867	O14867	reviewed	BACH1_HUMAN	Transcription regulator protein BACH1 (BTB and CNC homolog 1) (HA2303)	BACH1	Homo sapiens (Human)	736	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00978, ECO:0000269|PubMed:24035498}.	chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription regulator complex [GO:0090575]
Q07817	Q07817	reviewed	B2CL1_HUMAN	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	BCL2L1 BCL2L BCLX	Homo sapiens (Human)	233	SUBCELLULAR LOCATION: [Isoform Bcl-X(L)]: Mitochondrion inner membrane {ECO:0000250}. Mitochondrion outer membrane {ECO:0000250}. Mitochondrion matrix {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000250}. Cytoplasm, cytosol {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=After neuronal stimulation, translocates from cytosol to synaptic vesicle and mitochondrion membrane in a calmodulin-dependent manner (By similarity). Localizes to the centrosome when phosphorylated at Ser-49. {ECO:0000250}.	Bcl-2 family protein complex [GO:0097136]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear membrane [GO:0031965]; PUMA-BCL-xl complex [GO:0097143]; synaptic vesicle membrane [GO:0030672]
O43521	O43521	reviewed	B2L11_HUMAN	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198	SUBCELLULAR LOCATION: Endomembrane system {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Associated with intracytoplasmic membranes. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform BimEL]: Mitochondrion. Note=Translocates from microtubules to mitochondria on loss of cell adherence.; SUBCELLULAR LOCATION: [Isoform BimL]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform BimS]: Mitochondrion.; SUBCELLULAR LOCATION: [Isoform Bim-alpha1]: Mitochondrion.	Bcl-2 family protein complex [GO:0097136]; BIM-BCL-2 complex [GO:0097141]; BIM-BCL-xl complex [GO:0097140]; cytosol [GO:0005829]; endomembrane system [GO:0012505]; extrinsic component of membrane [GO:0019898]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]
A0A0S2Z3I5	A0A0S2Z3I5	unreviewed	A0A0S2Z3I5_HUMAN	Betacellulin isoform 2	BTC	Homo sapiens (Human)	129		
Q9P1Z2	Q9P1Z2	reviewed	CACO1_HUMAN	Calcium-binding and coiled-coil domain-containing protein 1 (Calphoglin) (Coiled-coil coactivator protein) (Sarcoma antigen NY-SAR-3)	CALCOCO1 KIAA1536 PP13275 UNQ2436/PRO4996	Homo sapiens (Human)	691	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Shuttles between nucleus and cytoplasm. {ECO:0000250}.	chromatin [GO:0000785]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]
A4D1B1	A4D1B1	unreviewed	A4D1B1_HUMAN	Platelet glycoprotein 4 (Glycoprotein IIIb) (PAS IV) (PAS-4) (Platelet glycoprotein IV)	CD36 hCG_17062 tcag7.257	Homo sapiens (Human)	472	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000256|ARBA:ARBA00004221}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Golgi apparatus {ECO:0000256|ARBA:ARBA00004555}. Membrane raft {ECO:0000256|ARBA:ARBA00004285}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; collagen trimer [GO:0005581]; external side of plasma membrane [GO:0009897]; Golgi apparatus [GO:0005794]; membrane raft [GO:0045121]
A0A024R832	A0A024R832	unreviewed	A0A024R832_HUMAN	Anaphase-promoting complex subunit CDC26 (Cell division cycle protein 26 homolog)	CDC26 hCG_1784812 hCG_1820615	Homo sapiens (Human)	85		anaphase-promoting complex [GO:0005680]
P30260	P30260	reviewed	CDC27_HUMAN	Cell division cycle protein 27 homolog (Anaphase-promoting complex subunit 3) (APC3) (CDC27 homolog) (CDC27Hs) (H-NUC)	CDC27 ANAPC3 D0S1430E D17S978E	Homo sapiens (Human)	824	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18445686}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:18445686}.	anaphase-promoting complex [GO:0005680]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]
A0A024RCX5	A0A024RCX5	unreviewed	A0A024RCX5_HUMAN	Cyclin-dependent kinase inhibitor 1A (P21, Cip1), isoform CRA_a	CDKN1A hCG_15367	Homo sapiens (Human)	164		cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]
A0A024R796	A0A024R796	unreviewed	A0A024R796_HUMAN	Cyclin-dependent kinase inhibitor 2D (P19, inhibits CDK4), isoform CRA_a	CDKN2D hCG_28483	Homo sapiens (Human)	166		cyclin D2-CDK4 complex [GO:0097129]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]
P49454	P49454	reviewed	CENPF_HUMAN	Centromere protein F (CENP-F) (AH antigen) (Kinetochore protein CENPF) (Mitosin)	CENPF	Homo sapiens (Human)	3114	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region. Nucleus matrix. Chromosome, centromere, kinetochore. Cytoplasm, cytoskeleton, spindle. Note=Relocalizes to the kinetochore/centromere (coronal surface of the outer plate) and the spindle during mitosis. Observed in nucleus during interphase but not in the nucleolus. At metaphase becomes localized to areas including kinetochore and mitotic apparatus as well as cytoplasm. By telophase, is concentrated within the intracellular bridge at either side of the mid-body.	axoneme [GO:0005930]; centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; ciliary basal body [GO:0036064]; ciliary transition fiber [GO:0097539]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; midbody [GO:0030496]; nuclear envelope [GO:0005635]; nuclear matrix [GO:0016363]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; outer kinetochore [GO:0000940]; perinuclear region of cytoplasm [GO:0048471]; pronucleus [GO:0045120]; spindle [GO:0005819]; spindle pole [GO:0000922]
O14578	O14578	reviewed	CTRO_HUMAN	Citron Rho-interacting kinase (CRIK) (EC 2.7.11.1) (Serine/threonine-protein kinase 21)	CIT CRIK KIAA0949 STK21	Homo sapiens (Human)	2027	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.	cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; Golgi cisterna [GO:0031985]; membrane [GO:0016020]; midbody [GO:0030496]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]
D9ZGF2	D9ZGF2	unreviewed	D9ZGF2_HUMAN	Collagen, type VI, alpha 3 (Epididymis secretory sperm binding protein)	COL6A3	Homo sapiens (Human)	3177		collagen trimer [GO:0005581]; endoplasmic reticulum lumen [GO:0005788]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; sarcolemma [GO:0042383]
Q9BRF8	Q9BRF8	reviewed	CPPED_HUMAN	Serine/threonine-protein phosphatase CPPED1 (EC 3.1.3.16) (Calcineurin-like phosphoesterase domain-containing protein 1) (Complete S-transactivated protein 1)	CPPED1 CSTP1	Homo sapiens (Human)	314	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23799035}.	azurophil granule lumen [GO:0035578]; cytosol [GO:0005829]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]
P68400	P68400	reviewed	CSK21_HUMAN	Casein kinase II subunit alpha (CK II alpha) (EC 2.7.11.1)	CSNK2A1 CK2A1	Homo sapiens (Human)	391	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:23123191, ECO:0000269|PubMed:24962073}.	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; NuRD complex [GO:0016581]; plasma membrane [GO:0005886]; protein kinase CK2 complex [GO:0005956]; Sin3 complex [GO:0016580]
P07339	P07339	reviewed	CATD_HUMAN	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	Homo sapiens (Human)	412	SUBCELLULAR LOCATION: Lysosome. Melanosome. Secreted, extracellular space. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV. In aortic samples, detected as an extracellular protein loosely bound to the matrix (PubMed:20551380). {ECO:0000269|PubMed:20551380}.	collagen-containing extracellular matrix [GO:0062023]; endosome lumen [GO:0031904]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane raft [GO:0045121]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]
A0A024RDA5	A0A024RDA5	unreviewed	A0A024RDA5_HUMAN	Multifunctional fusion protein [Includes: Interleukin-8 (IL-8) (C-X-C motif chemokine 8) (Chemokine (C-X-C motif) ligand 8); C-X-C motif chemokine]	IL8 CXCL8 hCG_16372	Homo sapiens (Human)	99	SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613, ECO:0000256|RuleBase:RU361149}.	extracellular space [GO:0005615]
P98082	P98082	reviewed	DAB2_HUMAN	Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2)	DAB2 DOC2	Homo sapiens (Human)	770	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic vesicle, clathrin-coated vesicle membrane. Membrane, clathrin-coated pit. Note=Colocalizes with large insert-containing isoforms of MYO6 at clathrin-coated pits/vesicles. During mitosis is progressively displaced from the membrane and translocated to the cytoplasm.	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; clathrin-coated vesicle membrane [GO:0030665]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; focal adhesion [GO:0005925]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P07108	P07108	reviewed	ACBP_HUMAN	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI) (Endozepine) (EP)	DBI	Homo sapiens (Human)	87	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:17953517, ECO:0000269|PubMed:21698759}. Golgi apparatus {ECO:0000269|PubMed:17953517, ECO:0000269|PubMed:21698759}. Note=Golgi localization is dependent on ligand binding (PubMed:17953517). {ECO:0000269|PubMed:17953517}.	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; perinuclear endoplasmic reticulum [GO:0097038]; protein-lipid complex [GO:0032994]
B4E3V1	B4E3V1	unreviewed	B4E3V1_HUMAN	dimethylargininase (EC 3.5.3.18)		Homo sapiens (Human)	167		
O95786	O95786	reviewed	RIGI_HUMAN	Antiviral innate immune response receptor RIG-I (ATP-dependent RNA helicase DDX58) (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (RNA sensor RIG-I) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I)	RIGI DDX58	Homo sapiens (Human)	925	SUBCELLULAR LOCATION: Cytoplasm. Cell projection, ruffle membrane. Cytoplasm, cytoskeleton. Cell junction, tight junction. Note=Colocalized with TRIM25 at cytoplasmic perinuclear bodies. Associated with the actin cytoskeleton at membrane ruffles.	actin cytoskeleton [GO:0015629]; bicellular tight junction [GO:0005923]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; ruffle membrane [GO:0032587]
A0A024RB23	A0A024RB23	unreviewed	A0A024RB23_HUMAN	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	DGKA hCG_25001	Homo sapiens (Human)	735		cytosol [GO:0005829]; plasma membrane [GO:0005886]
I1W660	I1W660	unreviewed	I1W660_HUMAN	Dickkopf-like protein 1	DKK1	Homo sapiens (Human)	266		extracellular region [GO:0005576]
Q9C005	Q9C005	reviewed	DPY30_HUMAN	Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L)	DPY30	Homo sapiens (Human)	99	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19651892}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:19651892}. Note=Associated with chromatin at regions enriched in histone H3 trimethylated at 'Lys-4. Highly enriched in gene promoter regions and 5' UTRs, but not in downstream regions of genes or 3' UTRs (By similarity). {ECO:0000250}.	Golgi apparatus [GO:0005794]; histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; trans-Golgi network [GO:0005802]
P23919	P23919	reviewed	KTHY_HUMAN	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	DTYMK CDC8 TMPK TYMK	Homo sapiens (Human)	212		cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]
P51452	P51452	reviewed	DUS3_HUMAN	Dual specificity protein phosphatase 3 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase VHR) (Vaccinia H1-related phosphatase) (VHR)	DUSP3 VHR	Homo sapiens (Human)	185	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10224087}.	cytoplasm [GO:0005737]; cytosol [GO:0005829]; immunological synapse [GO:0001772]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
P33316	P33316	reviewed	DUT_HUMAN	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase)	DUT	Homo sapiens (Human)	252	SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:8631816, ECO:0000269|PubMed:9070952}.; SUBCELLULAR LOCATION: [Isoform 3]: Mitochondrion {ECO:0000269|PubMed:8631816, ECO:0000269|PubMed:9070952}.	extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0A140VKF9	A0A140VKF9	unreviewed	A0A140VKF9_HUMAN	Testis tissue sperm-binding protein Li 76m		Homo sapiens (Human)	303		
O43854	O43854	reviewed	EDIL3_HUMAN	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	EDIL3 DEL1	Homo sapiens (Human)	480	SUBCELLULAR LOCATION: Secreted.	collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; extracellular vesicle [GO:1903561]
Q13541	Q13541	reviewed	4EBP1_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118		cytoplasm [GO:0005737]; cytosol [GO:0005829]
P06733	P06733	reviewed	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10802057}. Cell membrane {ECO:0000269|PubMed:10802057}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000269|PubMed:10802057}. Note=Can translocate to the plasma membrane in either the homodimeric (alpha/alpha) or heterodimeric (alpha/gamma) form. ENO1 is localized to the M line.; SUBCELLULAR LOCATION: [Isoform MBP-1]: Nucleus.	cell cortex [GO:0005938]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; M band [GO:0031430]; membrane [GO:0016020]; nuclear outer membrane [GO:0005640]; nucleus [GO:0005634]; phosphopyruvate hydratase complex [GO:0000015]; plasma membrane [GO:0005886]
E7DVW5	E7DVW5	unreviewed	E7DVW5_HUMAN	Fatty acid binding protein 5 (Psoriasis-associated)	FABP5	Homo sapiens (Human)	135		cytoplasm [GO:0005737]; extracellular space [GO:0005615]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]
P25445	P25445	reviewed	TNR6_HUMAN	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)	FAS APT1 FAS1 TNFRSF6	Homo sapiens (Human)	335	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:1713127, ECO:0000269|PubMed:25301068}; Single-pass type I membrane protein {ECO:0000305}. Membrane raft {ECO:0000269|PubMed:25301068}.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted.; SUBCELLULAR LOCATION: [Isoform 6]: Secreted.	CD95 death-inducing signaling complex [GO:0031265]; cell surface [GO:0009986]; cytosol [GO:0005829]; death-inducing signaling complex [GO:0031264]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; membrane raft [GO:0045121]; nuclear body [GO:0016604]; plasma membrane [GO:0005886]
