feat1,type_1
NOTCH3,txn
TEAD2,txn
MGLL,txn
NTN4,txn
NUAK1,txn
SCARF1,txn
ARHGEF10L,txn
TXK,txn
GTSE1,txn
SEMA3C,txn
TTC38,txn
CELSR1,txn
ADD2,txn
FOSL2,txn
FSCN1,txn
SEC31B,txn
RBM7,txn
RBMS2,txn
TPD52,txn
TRAF4,txn
CTTNBP2,txn
NAALAD2,txn
FGFR1,txn
CST7,txn
MAP2,txn
LAMP3,txn
NEBL,txn
ITM2A,txn
TP53INP2,txn
TNS1,txn
RAPGEF3,txn
CARMIL1,txn
MOXD1,txn
DDX43,txn
SLC4A4,txn
COL5A3,txn
SRCAP,txn
IGSF9B,txn
CXCL2,txn
COL4A4,txn
STK17B,txn
IL12RB2,txn
SMARCD3,txn
COL19A1,txn
EPB41L3,txn
COBLL1,txn
ITGB5,txn
PLOD1,txn
P2RX5,txn
HAL,txn
APLP2,txn
FCN1,txn
MECOM,txn
SCAMP1,txn
OVGP1,txn
PILRA,txn
CTTN,txn
MGST2,txn
DNAJA1,txn
SNX10,txn
PPP1R15A,txn
HSD17B14,txn
FTL,txn
ADAMTS2,txn
TMPRSS11E,txn
LPCAT2,txn
GNAO1,txn
GP6,txn
TPX2,txn
DOCK3,txn
TMEM40,txn
SMOX,txn
SIGLEC1,txn
EBF4,txn
LZTS3,txn
TESC,txn
OAS1,txn
RPH3A,txn
CHGB,txn
BIRC5,txn
LAG3,txn
LTBP4,txn
BLVRB,txn
RGS1,txn
ICAM1,txn
IRAK3,txn
LYZ,txn
P3H2,txn
CD209,txn
PDPR,txn
KIF4A,txn
PLEKHG2,txn
NLRC4,txn
NRCAM,txn
IL5RA,txn
ABCC6,txn
ITGA6,txn
MAP3K20,txn
RGS17,txn
CD200,txn
JPH4,txn
SLC7A8,txn
SLC22A17,txn
RPGRIP1,txn
DAZL,txn
PHGDH,txn
COL9A3,txn
CLSPN,txn
DPYSL2,txn
TGFB2,txn
CDC45,txn
VNN3,txn
CDC6,txn
TBC1D2,txn
WHRN,txn
BLNK,txn
TDRD1,txn
BAMBI,txn
CREM,txn
DSP,txn
SYDE2,txn
NRP1,txn
PRKY,txn
NDUFB7,txn
CEP170B,txn
GADD45B,txn
PALM,txn
ARVCF,txn
MMP11,txn
DERL3,txn
DDTL,txn
OSM,txn
SEC14L2,txn
LGALS2,txn
SEZ6L,txn
LGALS1,txn
TTC28,txn
CENPM,txn
TPTEP1,txn
CYP2D6,txn
NEFH,txn
HMOX1,txn
APOBEC3H,txn
TSPO,txn
RASD2,txn
PDGFB,txn
RBFOX2,txn
SYNGR1,txn
APOL4,txn
CACNA1I,txn
FOXRED2,txn
PVALB,txn
KIAA0930,txn
CSF2RB,txn
UPK3A,txn
FAM118A,txn
IL2RB,txn
MLC1,txn
CTSG,txn
GZMH,txn
GZMB,txn
COCH,txn
VCPKMT,txn
PYGL,txn
CDKN3,txn
HIF1A,txn
EIF5,txn
TCL1A,txn
NFKBIA,txn
TM9SF1,txn
MMP9,txn
NINL,txn
CD40,txn
MYBL2,txn
CTSZ,txn
TUBB1,txn
NTSR1,txn
SLC17A9,txn
C20orf27,txn
ISM1,txn
SIRPB1,txn
MYL9,txn
HCK,txn
JAG1,txn
BPI,txn
CST3,txn
CDH20,txn
SMAD7,txn
VSIG1,txn
TLR8,txn
CACNA1F,txn
PLP2,txn
PPP1R2C,txn
PHEX,txn
CD40LG,txn
TIMP1,txn
KLHL4,txn
KLF8,txn
SYTL4,txn
DRP2,txn
GLA,txn
RUBCNL,txn
TNFSF13B,txn
KLF5,txn
FLT1,txn
RGCC,txn
MSLN,txn
NFAT5,txn
PLLP,txn
SEC14L5,txn
COTL1,txn
CRISPLD2,txn
NME4,txn
NOMO3,txn
SLC7A5,txn
MEFV,txn
CPPED1,txn
CORO7.PAM16,txn
PYCARD,txn
SYT17,txn
AQP9,txn
CORO2B,txn
ACSBG1,txn
CTSH,txn
DMXL2,txn
CA2,txn
RIPK2,txn
LAPTM4B,txn
NIPAL2,txn
ZC2HC1A,txn
ARHGEF10,txn
ASAH1,txn
KCNN4,txn
TUBB4A,txn
FCGRT,txn
RETN,txn
FCER2,txn
IL4I1,txn
KIR3DX1,txn
LILRB1,txn
LILRA1,txn
TNNT1,txn
CLC,txn
SHD,txn
FSD1,txn
SLC1A5,txn
CEACAM4,txn
CD79A,txn
LIM2,txn
ICAM4,txn
NKG7,txn
CD33,txn
ATP1A3,txn
PTPRS,txn
CLEC11A,txn
SIGLEC6,txn
PLA2G4C,txn
SIGLEC5,txn
CABP5,txn
RAB3D,txn
RASIP1,txn
LILRB5,txn
LSR,txn
ZNF14,txn
RUNDC3B,txn
NAMPT,txn
TWISTNB,txn
STEAP1B,txn
GSDME,txn
ADAP1,txn
TFEC,txn
CAV2,txn
CAV1,txn
MET,txn
HOXA5,txn
VIPR2,txn
CPED1,txn
CPVL,txn
HYAL4,txn
PPP1R17,txn
SERPINE1,txn
TMEM106B,txn
TSPAN13,txn
AHR,txn
TMEM176B,txn
GLI3,txn
BLVRA,txn
AEBP1,txn
CNTNAP3,txn
PRUNE2,txn
ENG,txn
AK1,txn
KANK1,txn
KCNT1,txn
GLIS3,txn
NPDC1,txn
PTGDS,txn
ABCA2,txn
ZFAND5,txn
CUBN,txn
UNC5B,txn
VSIR,txn
ACTA2,txn
LIPA,txn
NEURL1,txn
SH3PXD2A,txn
MAP3K8,txn
UBE2S,txn
PPIF,txn
TBC1D12,txn
KRT23,txn
RGS9,txn
WNT3,txn
P2RX1,txn
RASD1,txn
CHRNE,txn
LGALS3BP,txn
CCL2,txn
CCL8,txn
CNTNAP1,txn
ABI3,txn
COL1A1,txn
PTGES3L.AARSD1,txn
ALOX12,txn
ABCC3,txn
LUC7L3,txn
HLF,txn
SLC16A6,txn
FAM20A,txn
MMD,txn
PMP22,txn
PF4V1,txn
AREG,txn
TRIM2,txn
SLC2A9,txn
BST1,txn
FAM149A,txn
NCAPG,txn
PPARGC1A,txn
ZBTB16,txn
CRTAM,txn
B3GAT1,txn
DTX4,txn
MS4A6A,txn
MS4A4A,txn
FOLR3,txn
ARHGEF17,txn
NECTIN1,txn
SLC15A3,txn
ACCS,txn
SLC22A18,txn
EXPH5,txn
POU2AF1,txn
VWF,txn
P3H3,txn
CD69,txn
CORO1C,txn
ASIC1,txn
IL23A,txn
BCL7A,txn
LIN7A,txn
PPM1H,txn
LTA4H,txn
SLC6A12,txn
WNT5B,txn
TRPV4,txn
FOXM1,txn
ALDH2,txn
GPRC5D,txn
LTBR,txn
OAS3,txn
OAS2,txn
VDR,txn
ADGRD1,txn
IFNG,txn
C12orf57,txn
NT5DC3,txn
GOLT1B,txn
CLEC4A,txn
KLRB1,txn
ADTRP,txn
FAM184A,txn
SASH1,txn
ULBP1,txn
SLC26A8,txn
SOD2,txn
PHACTR1,txn
MDGA1,txn
CD83,txn
BACH2,txn
RBM24,txn
TREML2,txn
KHDRBS2,txn
PTP4A1,txn
VNN1,txn
VNN2,txn
SLC16A10,txn
ADGRG6,txn
CCR6,txn
PTK7,txn
VEGFA,txn
SLC29A1,txn
ENPP5,txn
LY86,txn
NUDT12,txn
SEMA5A,txn
KIF20A,txn
HBEGF,txn
GZMK,txn
SPARC,txn
PDE8B,txn
RNF130,txn
RASGRF2,txn
NPR3,txn
PDE4D,txn
PRLR,txn
SLC12A7,txn
PCDH12,txn
PDGFRB,txn
HRH2,txn
DBN1,txn
SELENOK,txn
BCL6,txn
HGD,txn
CD86,txn
SLC25A36,txn
PFKFB4,txn
HES1,txn
USP9Y,txn
C3orf14,txn
GNB4,txn
CISH,txn
ABHD14A.ACY1,txn
ZBTB47,txn
SLC4A3,txn
ADAM23,txn
IL1A,txn
CCL20,txn
STEAP3,txn
TFCP2L1,txn
TP53I3,txn
POMC,txn
OTOF,txn
GCA,txn
LOXL3,txn
FN1,txn
STAT1,txn
DNAH6,txn
IGFBP2,txn
GNLY,txn
IL1R2,txn
IL1R1,txn
IL18RAP,txn
PASK,txn
ID2,txn
ODC1,txn
QPCT,txn
SDC1,txn
PLCL1,txn
SLC1A4,txn
KYNU,txn
CD207,txn
EPHA4,txn
DHCR24,txn
TNR,txn
RALGPS2,txn
CHD5,txn
ERRFI1,txn
FBXO2,txn
FBXO6,txn
C1orf21,txn
LEPR,txn
PRG4,txn
NCF2,txn
PLA2G4A,txn
GADD45A,txn
WLS,txn
RGS2,txn
BCAS2,txn
SRSF11,txn
CTH,txn
CRYZ,txn
NID1,txn
HPCAL4,txn
BMP8B,txn
MYCL,txn
SIPA1L2,txn
ETV3,txn
PADI2,txn
GBP1,txn
CD160,txn
ID3,txn
CR2,txn
CDC20,txn
CNN3,txn
F3,txn
FASLG,txn
PTBP2,txn
TNFSF4,txn
IRF6,txn
PLPPR4,txn
RCAN3,txn
SLC35A3,txn
NEK2,txn
CENPF,txn
CTSD,txn
KIF14,txn
B4GALT6,txn
ELOVL4,txn
CNR1,txn
TNFAIP3,txn
RAB32,txn
SGK1,txn
SLC16A7,txn
ABCG2,txn
STBD1,txn
SATB2,txn
KLF9,txn
TJP2,txn
CTNNAL1,txn
BSPRY,txn
SLC46A2,txn
NR4A3,txn
CSF3R,txn
NPC2,txn
IRF2BPL,txn
FLVCR2,txn
PPP4R4,txn
GPR68,txn
KLHL29,txn
YPEL5,txn
LGALSL,txn
BCL11A,txn
OGFRL1,txn
IFIT3,txn
IFIT2,txn
CNNM1,txn
HELLS,txn
AVPI1,txn
KCNIP2,txn
SFRP5,txn
DUSP1,txn
NUP43,txn
CCDC170,txn
PLEKHG1,txn
CXorf21,txn
SEC16B,txn
PLXDC2,txn
IQSEC3,txn
TGFBI,txn
FAM53C,txn
EGR1,txn
DUSP4,txn
CLU,txn
EPHX2,txn
TNFRSF8,txn
LYPLA1,txn
SCPEP1,txn
NCAPH,txn
TSHZ3,txn
PLBD1,txn
BCL2L14,txn
ZSCAN18,txn
CSTA,txn
DPPA4,txn
CD80,txn
MAPK8IP1,txn
DEPDC7,txn
PILRB,txn
GJB6,txn
CCRL2,txn
CCR2,txn
TNFSF10,txn
TMEM156,txn
TMIGD3,txn
CXCR4,txn
FLT3,txn
RASL11A,txn
XPNPEP2,txn
ZNF205,txn
PTGFR,txn
TRMT13,txn
FKBP9,txn
ARL4A,txn
CALD1,txn
PLAU,txn
SRGN,txn
EGR2,txn
ZWINT,txn
BHLHE41,txn
SSPN,txn
GUCY1B2,txn
NLN,txn
CENPK,txn
MMP19,txn
NR4A1,txn
LRP1,txn
NFE2,txn
SARDH,txn
HJURP,txn
TNFAIP6,txn
ACVR1C,txn
BATF3,txn
G0S2,txn
KCNJ2,txn
C4BPB,txn
RAB38,txn
CKS2,txn
PARD6B,txn
EDN3,txn
TMEM189.UBE2V1,txn
SNAI1,txn
PMEPA1,txn
IQSEC2,txn
IL9R,txn
LYPD3,txn
F13A1,txn
PACSIN1,txn
SLC17A3,txn
NQO2,txn
ZNF391,txn
MOCS1,txn
H2BC11,txn
DNAH8,txn
TREM1,txn
CDKN1A,txn
SOX4,txn
CPNE5,txn
KCNK17,txn
EREG,txn
MYRF,txn
MT2A,txn
GPR18,txn
RAP2A,txn
IRF1,txn
TMEM255A,txn
KIR2DL1,txn
PPDPF,txn
IL1B,txn
PLGLB2,txn
PAX8,txn
TNFSF9,txn
C3,txn
TNFSF14,txn
FOSB,txn
CD93,txn
GZF1,txn
BFSP1,txn
LAMP5,txn
SIRPD,txn
CHURC1.FNTB,txn
ID1,txn
MCF2L,txn
GPR42,txn
FFAR2,txn
FFAR1,txn
CCR7,txn
NR1D1,txn
RRAS,txn
TSKS,txn
SBDS,txn
IFI6,txn
CFP,txn
DLGAP5,txn
L3HYPDH,txn
HSPA2,txn
SGPP1,txn
AIF1L,txn
ATP13A4,txn
PTPRB,txn
TAS2R4,txn
CRYGN,txn
ADGRE2,txn
KLF2,txn
PKMYT1,txn
FBXL16,txn
CHTF18,txn
TICAM1,txn
TUBA4A,txn
VIL1,txn
GNG11,txn
HIP1,txn
FGL2,txn
STEAP4,txn
ZFP36,txn
SRD5A3,txn
SPINK2,txn
RASL11B,txn
VPREB3,txn
GNAZ,txn
MGAT3,txn
CDC42EP1,txn
TST,txn
LIF,txn
APOBEC3A,txn
DOCK4,txn
DNAJB9,txn
LRRC4,txn
IRF5,txn
MYO1B,txn
CHN1,txn
ARHGAP22,txn
WDFY4,txn
ELL3,txn
PALLD,txn
TPH1,txn
E2F8,txn
USP6,txn
CD68,txn
LRRC6,txn
MTUS1,txn
SIGLEC9,txn
RNASE1,txn
EPB41L4A,txn
CDO1,txn
FOXJ1,txn
CDKN1C,txn
RPS4Y1,txn
SHC2,txn
KCNA6,txn
STARD8,txn
SAT1,txn
SH3BP4,txn
MOSPD2,txn
LDLR,txn
NECTIN2,txn
GADD45G,txn
PLVAP,txn
AFDN,txn
STK33,txn
MAP1S,txn
PXDN,txn
IQCN,txn
JUND,txn
TRPM4,txn
OLFM1,txn
TNNT3,txn
TNNI2,txn
PNPLA7,txn
LAMA5,txn
SESN2,txn
HIP1R,txn
ZNF331,txn
LRP3,txn
PRRG1,txn
TXLNGY,txn
ULBP2,txn
AKAP12,txn
LILRB2,txn
GINS2,txn
PRR7,txn
IDO1,txn
PPT1,txn
ADGRE3,txn
KCNC3,txn
NAPSB,txn
GFPT2,txn
TMEM204,txn
NINJ1,txn
CA6,txn
IL13RA1,txn
TOP2A,txn
CLUHP3,txn
RAI2,txn
LGALS3,txn
DNAJB1,txn
ZNF20,txn
FCRLA,txn
EMILIN2,txn
SLX1A,txn
CARD6,txn
SERPINF1,txn
FIGNL1,txn
JCHAIN,txn
ZRANB2,txn
KDM6B,txn
CLEC10A,txn
XAF1,txn
MATN2,txn
NXT1,txn
RIN2,txn
ATP1A4,txn
FCRL2,txn
OSER1,txn
PATJ,txn
SYT4,txn
ATP8A2,txn
RNF17,txn
LGR6,txn
EPSTI1,txn
EPHB2,txn
PRAM1,txn
LGALS12,txn
PLAAT2,txn
PDZD2,txn
LARGE1,txn
MYO18B,txn
C1QTNF6,txn
GIMAP4,txn
TMTC1,txn
E2F5,txn
CA1,txn
MICAL2,txn
CATSPERB,txn
ADAMDEC1,txn
CTIF,txn
CD180,txn
CAMK1,txn
BHLHE40,txn
CHL1,txn
GSTM1,txn
REG4,txn
TSPAN2,txn
GSTM3,txn
SORT1,txn
PTGFRN,txn
CD101,txn
RSAD2,txn
CMPK2,txn
IL6ST,txn
FST,txn
IL2RA,txn
ECHDC3,txn
HRH4,txn
EMP1,txn
SOX5,txn
KLRD1,txn
KLRC1,txn
SPX,txn
SPOCD1,txn
HOOK1,txn
DSC2,txn
RNF138,txn
DSC1,txn
DAGLA,txn
FADS2,txn
PDGFRA,txn
SLC37A2,txn
TMED7,txn
ANXA1,txn
CTSL,txn
GOLM1,txn
PSAT1,txn
CCNJL,txn
TBX3,txn
OASL,txn
HRK,txn
DTX1,txn
TMEM60,txn
CD36,txn
NT5E,txn
AKIRIN2,txn
PRR5L,txn
LMO2,txn
PRRG4,txn
RDH5,txn
TROAP,txn
ESPL1,txn
KCNH3,txn
AHI1,txn
PKIB,txn
STX11,txn
RAB11FIP5,txn
DYSF,txn
GNS,txn
CPM,txn
KIAA0513,txn
GLUL,txn
NPL,txn
LAMC1,txn
GPR55,txn
ITM2C,txn
SERPINE2,txn
CYP27A1,txn
TSGA10,txn
EDAR,txn
USP44,txn
CKAP4,txn
DRAM1,txn
TBC1D4,txn
LMO7,txn
SPRY2,txn
NUDT15,txn
TNS3,txn
IGF2BP3,txn
GPNMB,txn
RAPGEF5,txn
IL6,txn
AOAH,txn
TTYH3,txn
TM6SF1,txn
MYCBPAP,txn
CHAD,txn
RTP4,txn
TRA2B,txn
ERMN,txn
BLK,txn
SKIL,txn
HLX,txn
IL10,txn
IL1RN,txn
KLF4,txn
NIBAN2,txn
TMOD1,txn
SLC31A2,txn
SLC31A1,txn
TLR4,txn
HEMGN,txn
MYC,txn
IL11RA,txn
CD72,txn
KIF13A,txn
GMPR,txn
CAPN11,txn
SLC22A23,txn
TUBB2A,txn
TUBB2B,txn
IER3,txn
RNF144B,txn
FGFBP2,txn
TLR2,txn
MYO7A,txn
SYTL2,txn
RAB30,txn
CREBZF,txn
LRRC32,txn
PI15,txn
SDCBP,txn
FXYD6,txn
ARHGAP20,txn
FXYD2,txn
CASP5,txn
THBS1,txn
NUSAP1,txn
KIF23,txn
PAK6,txn
SPTBN5,txn
GCOM1,txn
IFI44L,txn
ARHGAP29,txn
IFI44,txn
SLC44A5,txn
CYP1B1,txn
MYOF,txn
CH25H,txn
KIF11,txn
DUSP5,txn
CALHM2,txn
CEP55,txn
ZNF365,txn
SLC40A1,txn
PARP9,txn
SEMA7A,txn
ARHGAP24,txn
FAM13A,txn
PRKG2,txn
RASGEF1B,txn
GPAT3,txn
FGF2,txn
MMRN1,txn
PDE5A,txn
TRPC3,txn
CXCL9,txn
ANXA3,txn
LEF1,txn
EGF,txn
FBN2,txn
MAPK8IP3,txn
B4GALNT3,txn
PDE6H,txn
GABARAPL1,txn
FGD4,txn
ETNK1,txn
KLRG1,txn
VAMP1,txn
CD27,txn
PHLDA1,txn
DUSP6,txn
SDSL,txn
ACVRL1,txn
GPR84,txn
NPFF,txn
CELA1,txn
LPAR6,txn
RAB20,txn
CBLN3,txn
TMX1,txn
RTN1,txn
RAB15,txn
STON2,txn
JDP2,txn
SLC24A4,txn
FBLN5,txn
WARS1,txn
HDC,txn
BCL2A1,txn
NEIL1,txn
IGF1R,txn
ARRDC4,txn
PIF1,txn
PCSK6,txn
HAPLN3,txn
MFGE8,txn
ARMC5,txn
IGSF6,txn
NKD1,txn
ZFHX3,txn
CLEC18B,txn
CPNE2,txn
KIFC3,txn
CMTM2,txn
UNC45B,txn
TOB1,txn
SPATA22,txn
IMPA2,txn
GNAL,txn
OSBPL1A,txn
GATA6,txn
SLC14A1,txn
ZMYND15,txn
ASGR1,txn
SLC16A3,txn
EIF4A3,txn
SECTM1,txn
RNF157,txn
RNF165,txn
TNFRSF11A,txn
PMAIP1,txn
NT5C3B,txn
ERBB2,txn
CACNA1A,txn
PLPP2,txn
IFITM3,txn
PGGHG,txn
COL6A1,txn
COL6A2,txn
SIK1,txn
TRPM2,txn
ADAMTS10,txn
NLRP12,txn
SLC47A1,txn
SIGLEC10,txn
RCN3,txn
SLC2A5,txn
FHAD1,txn
EPHA2,txn
PGD,txn
NBPF3,txn
HSPG2,txn
BCL10,txn
KIF2C,txn
ZNF697,txn
CTTNBP2NL,txn
GPR161,txn
ATP1B1,txn
CREG1,txn
XCL1,txn
XCL2,txn
FCGR2A,txn
FCRL5,txn
CASQ1,txn
RGS16,txn
RORC,txn
ADAMTSL4,txn
MCL1,txn
SELENBP1,txn
DTL,txn
DYRK3,txn
SUSD4,txn
DUSP10,txn
ADAM15,txn
RAB13,txn
S100A8,txn
AQP10,txn
KCNN3,txn
SDE2,txn
EPHX1,txn
SOX13,txn
PPFIA4,txn
GDF7,txn
RHOB,txn
CHAC2,txn
MEIS1,txn
THNSL2,txn
FBLN7,txn
AFF3,txn
SLC4A10,txn
CDCA7,txn
EAF1,txn
OSBPL10,txn
CSRNP1,txn
CTDSPL,txn
CAND2,txn
NFKBIZ,txn
ADGRG7,txn
IGSF11,txn
TRPC1,txn
TM4SF19,txn
DGKQ,txn
SCD5,txn
SNCA,txn
DDIT4L,txn
ANK2,txn
CCNA2,txn
USP53,txn
NAF1,txn
MARCHF1,txn
RNF175,txn
PDGFC,txn
PLK2,txn
GZMA,txn
LHFPL2,txn
GTF2H2,txn
FEM1C,txn
ZNF300,txn
N4BP3,txn
KCNMB1,txn
MYLK4,txn
PLA2G7,txn
TNFRSF21,txn
SCUBE3,txn
CRIP3,txn
NFKBIE,txn
TPBG,txn
PRSS35,txn
PNRC1,txn
RNF217,txn
PNLDC1,txn
VWDE,txn
C7orf50,txn
SDK1,txn
CCZ1B,txn
CREB5,txn
CDCA5,txn
IGFBP3,txn
POMZP3,txn
EPHA1,txn
NCAPG2,txn
SYTL5,txn
ZNF711,txn
FRMPD3,txn
ZNF185,txn
CSGALNACT1,txn
ATP6V1B2,txn
DOCK5,txn
PLPP5,txn
SYBU,txn
NAPRT,txn
VLDLR,txn
C9orf72,txn
ZNF462,txn
GSN,txn
GBGT1,txn
PTGES,txn
LCN2,txn
ST8SIA6,txn
PARD3,txn
CDHR1,txn
LRMDA,txn
TCF7L2,txn
MKI67,txn
FUOM,txn
ITPRIP,txn
ADAM12,txn
ADM,txn
ZNF215,txn
HSD17B12,txn
SERPING1,txn
TENM4,txn
PAK1,txn
ZC3H12C,txn
NCAM1,txn
GLB1L2,txn
GRIK4,txn
ST14,txn
FADS1,txn
PLCH2,txn
FEZ1,txn
ESAM,txn
KIRREL3,txn
MPZL2,txn
SIDT2,txn
TAGLN,txn
CDC42EP2,txn
CNKSR2,txn
KLRF1,txn
FCGR1A,txn
LATS2,txn
HNMT,txn
GPM6A,txn
RGS18,txn
PRSS23,txn
DOCK1,txn
IL18,txn
PTS,txn
CRIM1,txn
UBC,txn
NOCT,txn
ENKUR,txn
THRB,txn
TMEM263,txn
ANK3,txn
IPMK,txn
DLG5,txn
TWF1,txn
DIP2C,txn
AKAP6,txn
ANKRD50,txn
EPS8,txn
TEX9,txn
AKR1C2,txn
DPYSL4,txn
VENTX,txn
ASAP2,txn
TMEM45B,txn
ACSL1,txn
CCDC122,txn
TMEM267,txn
GLT1D1,txn
SCHIP1,txn
TLCD4,txn
MZT2B,txn
ARL11,txn
SPC25,txn
PDE3B,txn
KCNK13,txn
CAMK4,txn
PLEKHH2,txn
IGSF10,txn
CLEC4F,txn
RASGRP3,txn
ANKRD22,txn
BMP3,txn
PTPRK,txn
ZNF117,txn
JAKMIP1,txn
ADGRA3,txn
BANK1,txn
SCOC,txn
SYCP2L,txn
BMP6,txn
MERTK,txn
NR4A2,txn
SCN3A,txn
SLC25A27,txn
CD8A,txn
PID1,txn
MCOLN2,txn
SEMA3D,txn
SLC5A10,txn
AK5,txn
DNAAF1,txn
C16orf74,txn
ROBO3,txn
NRGN,txn
RETREG1,txn
GPR15,txn
CERS3,txn
ABCA5,txn
UCHL1,txn
FAM167A,txn
PGM5,txn
OBSCN,txn
ENAH,txn
SH3RF1,txn
GBP5,txn
MAGED4,txn
SORBS2,txn
LY96,txn
TMSB4Y,txn
BTG3,txn
JAM2,txn
ADAMTS1,txn
ADAMTS5,txn
WNT7A,txn
OXNAD1,txn
SKA1,txn
APCDD1,txn
CCDC144B,txn
RAB6B,txn
EPHB1,txn
KLF10,txn
TTC39B,txn
MARVELD1,txn
RHOC,txn
TRIM74,txn
SLC7A7,txn
SETD9,txn
TTN,txn
VSIG4,txn
MICU3,txn
GRIP1,txn
KCNMA1,txn
BATF,txn
DPY19L4,txn
CFAP161,txn
MAP3K7CL,txn
BACH1,txn
SORCS3,txn
TDRD9,txn
PCDH1,txn
SH3RF2,txn
PPP2R2B,txn
HKDC1,txn
LRFN2,txn
UBE2L6,txn
GLYATL2,txn
MS4A1,txn
ITGAD,txn
B3GNT7,txn
BUB1B,txn
ZFYVE9,txn
FCHO2,txn
TMEM171,txn
NRG1,txn
MMP14,txn
FZD1,txn
TMED6,txn
CLEC18A,txn
CLEC18C,txn
HYDIN,txn
CACNA2D3,txn
CCNB2,txn
TSC22D3,txn
KCNJ15,txn
ETS2,txn
TSPAN18,txn
MX1,txn
SNX22,txn
FMNL2,txn
AGAP1,txn
DUSP2,txn
RHPN1,txn
MRAS,txn
TENT5B,txn
COLEC12,txn
RNF207,txn
GPR153,txn
TSPAN33,txn
CD1D,txn
CD1A,txn
SPATA2,txn
CD1C,txn
CD1E,txn
NCF1,txn
CPA5,txn
PPP1R9A,txn
ALAS2,txn
PPP1R15B,txn
SLAMF8,txn
SLC45A3,txn
NBL1,txn
SPATA2L,txn
EDA,txn
CDA,txn
