Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Contaminant,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio Adj. P-Value: (Both) / (Control),Abundance Ratio Adj. P-Value: (Spermidine) / (Control),Abundance Ratio Adj. P-Value: (Spermine) / (Control),"Abundance: F21: 128C, Sample, Both","Abundance: F21: 131C, Sample, Both","Abundance: F21: 132C, Sample, Both","Abundance: F21: 134N, Sample, Both","Abundance: F21: 126, Sample, Control","Abundance: F21: 130N, Sample, Control","Abundance: F21: 130C, Sample, Control","Abundance: F21: 131N, Sample, Control","Abundance: F21: 127C, Sample, Spermidine","Abundance: F21: 129N, Sample, Spermidine","Abundance: F21: 132N, Sample, Spermidine","Abundance: F21: 133N, Sample, Spermidine","Abundance: F21: 127N, Sample, Spermine","Abundance: F21: 128N, Sample, Spermine","Abundance: F21: 129C, Sample, Spermine","Abundance: F21: 133C, Sample, Spermine","Abundances (Normalized): F21: 128C, Sample, Both","Abundances (Normalized): F21: 131C, Sample, Both","Abundances (Normalized): F21: 132C, Sample, Both","Abundances (Normalized): F21: 134N, Sample, Both","Abundances (Normalized): F21: 126, Sample, Control","Abundances (Normalized): F21: 130N, Sample, Control","Abundances (Normalized): F21: 130C, Sample, Control","Abundances (Normalized): F21: 131N, Sample, Control","Abundances (Normalized): F21: 127C, Sample, Spermidine","Abundances (Normalized): F21: 129N, Sample, Spermidine","Abundances (Normalized): F21: 132N, Sample, Spermidine","Abundances (Normalized): F21: 133N, Sample, Spermidine","Abundances (Normalized): F21: 127N, Sample, Spermine","Abundances (Normalized): F21: 128N, Sample, Spermine","Abundances (Normalized): F21: 129C, Sample, Spermine","Abundances (Normalized): F21: 133C, Sample, Spermine","Found in Sample: [S300] F21: 128C, Sample, Both","Found in Sample: [S306] F21: 131C, Sample, Both","Found in Sample: [S308] F21: 132C, Sample, Both","Found in Sample: [S311] F21: 134N, Sample, Both","Found in Sample: [S296] F21: 126, Sample, Control","Found in Sample: [S303] F21: 130N, Sample, Control","Found in Sample: [S304] F21: 130C, Sample, Control","Found in Sample: [S305] F21: 131N, Sample, Control","Found in Sample: [S298] F21: 127C, Sample, Spermidine","Found in Sample: [S301] F21: 129N, Sample, Spermidine","Found in Sample: [S307] F21: 132N, Sample, Spermidine","Found in Sample: [S309] F21: 133N, Sample, Spermidine","Found in Sample: [S297] F21: 127N, Sample, Spermine","Found in Sample: [S299] F21: 128N, Sample, Spermine","Found in Sample: [S302] F21: 129C, Sample, Spermine","Found in Sample: [S310] F21: 133C, Sample, Spermine",# Protein Groups,Modifications
0,High,Master Protein,P02675,Fibrinogen beta chain OS=Homo sapiens OX=9606 GN=FGB PE=1 SV=2,0,0,920.501,78,44,379,37,491,55.9,8.27,5259,44,0,8,0.6753292478,0.8222050841,1,32385467.5049729,25459823.8980484,37427444.3803338,32294722.1740874,14788921.888526,17385036.1052249,26648380.5934574,31649418.2811667,49545004.9071722,35730038.8429607,33489136.074048,30240628.2804644,41638678.8591931,20094036.5875163,20429461.8309204,24734430.9023281,38179442.4327513,37807340.0153542,48819827.1317944,43244318.749191,24682358.3871675,20981024.6043897,39461815.3064105,37900886.3908345,51576492.428234,35730038.8429607,39229780.5784401,41605158.5105703,47281508.3865316,28165550.975366,28608663.6378091,41589781.5882726,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P08670,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,0,0,887.878,89,65,366,64,466,53.6,5.12,4951,65,0,1,0.24633644,0.3552379242,1,28035529.587319,22910120.012798,20682860.7638561,18461902.541043,62609408.0407227,76380066.5389947,43356774.4980613,34672816.8138382,22129343.2234943,40044628.3130431,32909428.3279084,18759354.7908824,38199739.2224683,58099973.3584037,53092571.0275726,19299369.8715187,33051271.7714012,34021079.6659446,26978429.967636,24721451.1986716,104493610.779598,92178816.6351837,64204165.1095394,41521473.7672914,23036709.8630183,40044628.3130431,38550700.4244943,25809183.6714546,43376527.3033318,81437980.5753002,74348875.1081742,32450982.2327143,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P06396,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1,0,0,863.482,68,49,363,22,782,85.6,6.28,4874,49,0,41,0.7774846509,0.9113850092,1,71621567.4371546,49624744.482216,81045162.1099849,68344879.1433457,35536475.2321938,46546633.7734161,55763143.1241887,72433401.4169486,94372534.9894559,77190587.5395398,72411371.0540344,68179510.0598464,85569458.2391696,48828829.6757732,49633514.8661937,54606949.7489798,84435140.8696005,73691773.9622711,105714158.943663,91517360.7197411,59309530.7493797,56174520.5785368,82575931.6651282,86740618.5357628,98242080.0126374,77190587.5395398,84823991.623813,93801600.1818787,97165740.3215857,68442738.486645,69504940.645084,91819016.2623907,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P14618,Pyruvate kinase PKM OS=Homo sapiens OX=9606 GN=PKM PE=1 SV=4,0,0,842.164,77,46,290,46,531,57.9,7.84,4487,46,0,0,0.2491769099,0.8054105645,1,36957034.8480022,26688115.8049214,26390823.2734441,35010391.4970385,29989051.5102998,37681323.2908859,33598455.1012715,45472540.7546515,39799312.9718946,44488138.9583859,38769690.0750619,32957119.5825111,42591440.0107003,35081829.0298398,33704884.6322589,29021694.4514816,43568893.4935962,39631329.4485574,34423815.2352252,46880741.7283404,50051012.6869172,45475474.788024,49753718.6223097,54454384.7768031,41431199.1287479,44488138.9583859,45415517.1807322,45342516.4174908,48363386.7171982,49173745.630726,47199075.3048639,48798613.4924614,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,0,0,812.807,83,35,338,6,444,49.6,4.89,4627,35,0,2,0.8351078418,0.8797996192,1,11142297.9955686,8213963.42979377,7394435.48989663,10116269.2998333,6526559.66068171,8019790.33015828,7448008.25175236,9464655.87001875,11416198.9125975,11483175.4393377,10683579.6130905,9279770.2634051,9794482.05113785,7952997.93457515,7447257.45189314,6797470.39323892,13135729.0063838,12197574.8735521,9645196.68202735,13546212.6534615,10892672.6230908,9678634.96058705,11029260.2959683,11334137.1291928,11884295.8614696,11483175.4393377,12514938.6680842,12767139.2660866,11121819.8542907,11147614.2564815,10428864.2172117,11429626.5850591,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68371,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1,0,0,796.184,83,35,314,2,445,49.8,4.89,4356,35,0,60,0.7152557422,0.6060361139,1,39347350.5999848,30236054.5873881,27709385.8084875,35637099.7451634,21657132.7030062,27364222.5683664,27082797.6982413,36817003.6054849,43614225.2479905,44937299.1916985,39750881.6287435,32563118.7547029,36148938.6394323,28886042.5982845,27208245.3188787,24899476.6124999,46386852.5869736,44899949.0760742,36143729.4876955,47719936.7862376,36145238.6484489,33024344.816537,40105114.7179753,44089185.4158587,45402533.7666409,44937299.1916985,46564902.7388201,44800448.7480554,41047804.4037935,40489191.9916195,38101421.6108563,41867298.1830643,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P02671,Fibrinogen alpha chain OS=Homo sapiens OX=9606 GN=FGA PE=1 SV=2,0,0,778.973,45,48,375,47,866,94.9,6.01,4536,48,0,1,0.5923016229,0.7628647029,1,56281726.7188332,44995911.0398047,68829079.3493969,53696967.847164,25414703.841393,28810235.5801365,45300797.2512143,52578608.5776558,90887116.9851366,64491202.672823,57465127.771984,50625931.300051,75487743.0148312,35005757.4956757,35798707.6474305,38572038.1302955,66350900.9078709,66818046.9273759,89779674.0095816,71903042.8851626,42416535.3800177,34769456.7849326,67082939.1711503,62964059.9579585,94613749.8581484,64491202.672823,67315691.5252267,69651327.2458876,85717761.7595826,49067117.1460041,50131187.7047846,64857066.9601505,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q9H4B7,Tubulin beta-1 chain OS=Homo sapiens OX=9606 GN=TUBB1 PE=1 SV=1,0,0,769.935,88,35,275,29,451,50.3,5.17,4590,35,0,0,0.6729753298,0.7857880387,1,21194078.2284949,19429752.2875955,19516867.5094104,24742686.8821479,11168704.4912923,13384619.8571936,16589635.4865087,23563591.7301609,29706745.2368336,27248588.7806516,20909705.8859426,22558066.2682211,23782246.4606131,14111952.6171224,15388477.0171166,16841714.6019821,24985839.3897138,28852801.7355036,25457524.9189123,33131749.2832175,18640301.7780709,16153146.6972211,24566488.3565198,28217928.2156435,30924807.1252735,27248588.7806516,24494008.2076622,31035463.7501888,27005191.2377085,19780541.3097756,21549454.7298611,28318550.5514309,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P06733,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2,0,0,762.252,78,41,310,38,434,47.1,7.39,4326,41,0,5,0.0870412366,0.1611647845,1,34443260.3827483,24915897.4389113,33861080.4533241,30385544.2246401,37119182.6503198,45478980.3948241,35655495.4551531,41707999.4033705,40172723.8458493,41609969.2143078,36225630.00454,30273996.4425534,43654533.5501529,39621711.4586938,39443140.0588085,26473469.7907212,40605388.1043241,36999619.8729725,44167912.6533063,40687829.8173534,61951031.7330668,54886029.6217383,52799852.9357262,49946262.2956578,41819920.9211713,41609969.2143078,42435359.1341267,41651066.5406564,49570549.5638214,55537240.0642683,55234716.2201583,44513893.6419271,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,0,0,721.184,78,34,255,15,448,49.9,5.06,4552,34,0,34,0.7856850565,0.768667753,1,32125830.6914058,27803347.7017704,25384063.6639279,37099092.4622823,16696270.2731391,19030088.9596082,24976047.0370879,34354823.1586598,43423115.7269264,39896324.5993709,33174778.7414732,32734347.6705085,32992231.2580135,21651152.3835462,21956986.6221887,25230313.0464036,37873354.8712397,41287426.9804564,33110612.2924754,49677621.3492842,27865677.4115739,22966346.5907482,36985367.715131,41140669.2516806,45203588.206244,39896324.5993709,38861536.7051773,45036026.0686591,37463303.391331,30348140.030413,30747752.9253041,42423584.0778897,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P67936,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,0,0,705.643,84,43,369,24,248,28.5,4.69,3404,43,0,33,0.9999999999,1,1,44922556.865942,35398382.1236632,52791014.9195737,44822357.2951484,29980299.9099295,31978116.6294586,39395750.0229881,55422050.1320805,60684589.5319944,55112984.6829732,48350260.2733715,46730665.4458192,53916058.84682,38794061.8865566,37738557.3508527,39317276.1335893,52959500.2305236,52565904.3951736,68859850.4427884,60019476.1086003,50036406.4743462,38592594.6741677,58338547.2829204,66369144.8273179,63172832.0215448,55112984.6829732,56638370.6417769,64292207.3293605,61222705.868148,54377134.3725999,52847681.5670513,66110149.5926421,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q86UX7,Fermitin family homolog 3 OS=Homo sapiens OX=9606 GN=FERMT3 PE=1 SV=1,0,0,704.894,77,46,256,46,667,75.9,6.98,4034,46,0,0,0.8483646624,0.8391389834,1,30894138.2836421,23208836.7592819,23906215.5429858,28606378.1208001,14767036.4477551,18046938.1432124,22741676.3457566,31757476.6780168,36787403.7951587,31901464.4440198,31976391.9610039,26653800.6143082,30361050.9133045,21667629.1735706,19854294.334998,20614013.2406957,36421304.5227355,34464668.1859525,31182928.1829681,38305433.5332959,24645832.1077916,21779837.0348418,33676636.693441,38030288.7383344,38295793.0239447,31901464.4440198,37457724.7244214,36670388.8947905,34475548.2813399,30371235.3337047,27803220.3244986,34661493.1923741,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,0,0,692.257,63,46,285,43,654,72.3,5.16,4123,46,0,5,0.9999999999,1,1,41992608.50619,32002396.7346207,40228233.1398927,36134767.2921602,31586050.2535171,37096073.1544313,35595612.5472996,42106483.3840689,50267994.3938291,53391126.3121139,44617176.2989337,35010287.7755697,46141319.9439981,36472442.9226821,36180305.0078831,27657645.4234295,49505364.6768248,47522932.5818239,52473136.229922,48386339.6095053,52716365.5517889,44769169.2366087,52711176.3183445,50423455.7766514,52329126.560658,53391126.3121139,52265368.4575978,48167272.1510299,52394342.6081137,51122951.1233763,50665562.5512987,46505029.2423769,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P04406,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,0,0,677.127,78,29,282,29,335,36,8.46,4256,29,0,0,0.9999999999,1,1,46722551.0989152,34161997.0101811,39344308.1167043,38629555.0920472,33459880.12928,42241712.8588977,39186261.6224814,45739177.5674141,53944662.9166391,57321712.26414,48195398.5696052,36635038.1424647,51084035.5677758,43580116.0001337,41210673.8192583,30471670.7409617,55081525.3699333,50729896.7086113,51320156.9778253,51726990.6994371,55843742.9832733,50979153.0750827,58028329.8368493,54773688.3247657,56156549.0542703,57321712.26414,56456962.8370095,50402609.1925703,58006889.8027105,61085684.4700234,57709905.2016245,51236680.3889984,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P11142,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1,0,0,648.042,59,44,264,27,646,70.9,5.52,3794,44,0,27,0.9452576957,1,1,41014619.8049545,31655908.9538487,37127412.7646825,36900642.7754292,32822724.3931352,36954089.4565972,36491659.7928522,43236455.6986531,47390418.0199006,50433126.3749995,44261350.1401901,36028464.1454448,45211537.7211334,36875789.7586659,37608458.5107031,30272812.6756818,48352407.3105936,47008405.0111986,48428470.1515709,49411886.8596765,54780345.2355195,44597817.0783704,54038073.1174128,51776622.9009057,49333561.2894534,50433126.3749995,51848547.2502452,49568082.6390757,51338557.2860893,51688317.1622094,52665495.9574493,50902309.9102632,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,O43707,Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2,0,0,645.639,67,68,274,36,911,104.8,5.44,3426,68,0,1,0.9999999999,1,1,13648166.0814271,10599665.623604,14335612.3623315,11895363.075639,9692088.1130868,11715043.8541664,11450592.1563167,14003860.446576,15988181.1682065,15267786.2574974,13971322.4497296,12432130.2451807,15131828.7698799,12079065.5583286,11882207.2744674,9929634.91408516,16089913.5125489,15740295.9221323,18699169.2578716,15928512.0865055,16175864.2131186,14138229.0987535,16956420.7189589,16769936.1518632,16643742.5227475,15267786.2574974,16366260.1770806,17104166.7745025,17182478.1306354,16931069.8343833,16639404.1117358,16696213.8307867,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,P00488,Coagulation factor XIII A chain OS=Homo sapiens OX=9606 GN=F13A1 PE=1 SV=4,0,0,632.199,65,51,248,51,732,83.2,6.09,3591,51,0,0,0.6780984005,0.7660201215,1,39941290.3931497,28774339.5722991,36640026.4921858,38072623.7095306,19459120.0034364,24048283.3799899,28546896.2606069,41097752.137146,44432009.4359354,42878869.5781212,43903773.893002,37779206.8881311,39282859.586631,29850559.634876,27323725.8632712,32299064.4480111,47087052.1483409,42729330.8973187,47792730.4166346,50981230.5068846,32476807.8054665,29022523.8667906,42273200.9495506,49215477.5430907,46253849.4554071,42878869.5781212,51429675.9575897,51976760.4167048,44606430.9886758,41841143.0365183,38263136.2991128,54309356.912347,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q15149,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3,0,0,618.079,31,119,197,117,4684,531.5,5.96,2224,119,0,2,0.9999999999,1,1,16566389.9634151,16561373.5145172,13205195.8235518,10206584.3796953,17212022.5817308,18645352.6706834,14429261.5206522,12772329.6178856,16733768.7471438,25250016.1934915,17191948.9491499,10155738.7296302,16681181.5309769,16799979.6848247,18634647.914646,8356308.82603863,19530227.0016511,24593315.4169472,17224669.9720176,13667149.2597701,28726455.7303468,22502029.9511234,21367334.1664773,15295150.4350976,17419901.3341493,25250016.1934915,20138960.3929957,13972299.6400561,18941797.5320801,23548314.0551268,26095272.5339163,14050740.0526603,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
0,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,0,0,616.348,70,29,208,1,451,50.1,5.06,3846,29,0,13,0.9999999999,1,1,8961527.45302213,7307169.79085555,6881359.83766858,9341879.3384979,5490048.09053649,6758226.79788223,7020369.88230386,9611259.38893916,10688338.1940351,10273299.0207396,8673488.35073222,8872741.06154595,9377883.38331421,6715541.40807876,6644998.16131349,6602821.72197681,10564804.1501838,10851004.0736761,8975948.08485443,12509264.0727107,9162759.50030809,8156124.71956836,10395999.0629291,11509698.1226284,11126590.7626392,10273299.0207396,10160281.3550201,12207147.1156351,10648764.1775452,9413087.46167675,9305409.9439443,11102334.0042754,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,High,1,
