"","gene","BIC","BIC_diff"
"77","IRAK4",-11310.5280602408,0
"78","IST1",-11310.5280602408,0
"79","JPT2",-11310.5280602408,0
"80","KIFBP",-11310.5280602408,0
"81","KYAT1",-11310.5280602408,0
"82","L3HYPDH",-11310.5280602408,0
"83","LACTB2",-11310.5280602408,0
"84","LATS1",-11310.5476073014,0.0195470606377057
"85","LBR",-11310.5280602408,0
"86","LZTFL1",-11310.5280602408,0
"87","MAP2K1",-11310.5280602408,0
"88","MAP4K5",-11310.5280602408,0
"89","MAPK9",-11310.5280602408,0
"90","MARS1",-11310.5280602408,0
"91","MAVS",-11310.5280602408,0
"92","MESD",-11310.5280602408,0
"93","METAP1D",-11310.5280602408,0
"94","MGLL",-11310.5280602408,0
"95","MINK1",-11310.5280602408,0
"96","MPI",-11310.5280602408,0
"97","MPIG6B",-11310.5280602408,0
"98","MSRA",-11310.5280602408,0
"99","MTDH",-11310.5280602408,0
"100","MTSS1",-11310.5280602408,0
"101","MYDGF",-11310.5280602408,0
"102","NAGK",-11310.5280602408,0
"103","NARS1",-11310.5280602408,0
"104","NEXN",-11310.5280602408,0
"105","NIT1",-11310.5280602408,0
"106","NIT2",-11310.5280602408,0
"107","NSFL1C",-11310.5280602408,0
"108","NT5C",-11310.5280602408,0
"109","NT5C1A",-11310.5280602408,0
"110","NUB1",-11310.5280602408,0
"111","NUDC",-11310.5280602408,0
"112","NUDT16",-11310.5280602408,0
"113","NUDT5",-11310.5280602408,0
"114","PARK7",-11310.5280602408,0
"115","PCYT2",-11310.5280602408,0
"116","PDLIM5",-11310.5280602408,0
"117","PDLIM7",-11310.5280602408,0
"118","PEBP1",-11310.5280602408,0
"119","PLPBP",-11314.2132834084,3.68522316759663
"120","PPME1",-11310.5280602408,0
"121","PPP1R12A",-11310.5280602408,0
"122","PRDX5",-11310.5280602408,0
"123","PRKAR2A",-11310.5280602408,0
"124","PTRHD1",-11310.5280602408,0
"125","PTS",-11310.5280602408,0
"126","RAB27B",-11310.5280602408,0
"127","RBKS",-11310.5280602408,0
"128","RBPMS2",-11310.5280602408,0
"129","RGCC",-11310.5280602408,0
"130","RILP",-11310.5280602408,0
"131","RILPL2",-11310.5280602408,0
"132","RWDD1",-11310.5280602408,0
"133","SAMD9L",-11310.5280602408,0
"134","SCAMP3",-11310.5280602408,0
"135","SCLY",-11310.5280602408,0
"136","SCRN1",-11310.5280602408,0
"137","SERPINB1",-11310.5280602408,0
"138","SERPINE1",-11310.5280602408,0
"139","SERPINE2",-11310.5280602408,0
"140","SHMT1",-11310.5280602408,0
"141","SIRT2",-11310.5280602408,0
"142","SKAP2",-11310.5280602408,0
"143","SLC9A3R1",-11310.5280602408,0
"144","SNAP23",-11310.5280602408,0
"145","SNAP29",-11310.5280602408,0
"146","SPART",-11310.5280602408,0
"147","SRC",-11310.5280602408,0
"148","STAT5B",-11310.5280602408,0
"149","STIP1",-11310.5280602408,0
"150","STX4",-11310.5280602408,0
"151","SYAP1",-11310.5280602408,0
"152","TBCA",-11310.5280602408,0
"153","TBCB",-11336.1395525862,25.6114923453824
"154","TMED8",-11310.5280602408,0
"155","TOMM20",-11310.5280602408,0
"156","TRIAP1",-11310.5280602408,0
"157","TTR",-11310.5280602408,0
"158","TWF2",-11310.5280602408,0
"159","TXLNA",-11319.1376776284,8.60961738760307
"160","TXN",-11310.5280602408,0
"161","TYMP",-11310.5280602408,0
"162","UBXN1",-11310.5280602408,0
"163","USO1",-11310.5280602408,0
"164","USP8",-11310.5280602408,0
"165","VASH1",-11310.5280602408,0
"166","VASP",-11310.5280602408,0
"167","VAV3",-11310.5280602408,0
"168","VTA1",-11310.5280602408,0
"169","VTI1A",-11310.5280602408,0
"170","YARS1",-11310.5280602408,0
"171","YES1",-11310.5280602408,0
"172","DCTN1",-11310.5280602408,0
"173","PPP1R9B",-11310.5280602408,0
"174","CLEC1B",-11310.5280602408,0
"175","CLIP2",-11310.5280602408,0
"176","METAP2",-11310.5280602408,0
"177","SH2D1A",-11310.5280602408,0
"178","RAB11FIP3",-11310.5280602408,0
"179","SNX9",-11310.5280602408,0
"180","STAMBP",-11310.5280602408,0
"181","ITGB1BP2",-11310.5280602408,0
"182","DIABLO",-11310.5280602408,0
"183","MGMT",-11310.5280602408,0
"184","PPIB",-11310.5280602408,0
"185","ACADSB",-11310.5280602408,0
"186","OTUD7B",-11310.5280602408,0
"187","OTUD6B",-11310.5280602408,0
