"","Protein","logFC","P.Value","adj.P.Val","UniProt.ID","Protein.name","Gene.name","Explore.384.panel","Significance","LFC"
"28","ADH4",0.448833919640133,0.00111276867071818,0.00398605738297702,"P07741","Adenine phosphoribosyltransferase","APRT","Neurology",7.58573063763215e-18,1.03694524414597
"29","ADIPOQ",-0.336736938039941,0.0240232347113903,0.0600170214199947,"P53367","Arfaptin-1","ARFIP1","Neurology_II",2.25838916769594e-06,0.468440629731097
"30","AFAP1",0.372078570164744,0.00102863988286129,0.00371199305876982,"Q92888","Rho guanine nucleotide exchange factor 1","ARHGEF1","Neurology_II",2.36580215985656e-09,1.07302822254048
"31","AFM",0.134061605010278,0.0050736202059077,0.0155452744883314,"O15013","Rho guanine nucleotide exchange factor 10","ARHGEF10","Neurology_II",0,0
"32","AGRN",0.165605816810434,0.00680631520338672,0.0200958175146458,"Q12774","Rho guanine nucleotide exchange factor 5","ARHGEF5","Neurology_II",0,0
"33","AGXT",0.472375209914249,0.000954670376845003,0.00344932201670945,"Q99856","AT-rich interactive domain-containing protein 3A","ARID3A","Neurology_II",0,0
"34","AHCY",0.539895112149429,9.40711480665199e-08,5.88800783294299e-07,"Q4LE39","AT-rich interactive domain-containing protein 4B","ARID4B","Neurology",0.0881371210914093,0.303131371359009
"35","AHSA1",0.563520630154117,1.54577659894388e-06,8.33635608618627e-06,"Q7L311","Armadillo repeat-containing X-linked protein 2","ARMCX2","Neurology_II",0,0
"36","AHSP",0.539327692240733,0.000594919164981751,0.0022294214349252,"P15289","Arylsulfatase A","ARSA","Neurology",0.00862504049371307,0.255015461848247
"37","AIF1",0.355992650113588,0.000386123006574628,0.0014870059923816,"Q96L15","Ecto-ADP-ribosyltransferase 5","ART5","Neurology_II",0,0
"38","AIFM1",1.11231194260131,1.45687666316146e-09,1.09753878516003e-08,"Q9NR71","Neutral ceramidase","ASAH2","Neurology",0,0
"39","AK1",0.734586500673926,7.73026947773559e-09,5.39273930391912e-08,"P07306","Asialoglycoprotein receptor 1","ASGR1","Neurology",0.00689953283279763,0.172087439360448
"40","AK2",0.90112786413693,1.17349265420475e-07,7.22130321734838e-07,"Q9BZE9","Tether containing UBX domain for GLUT4","ASPSCR1","Neurology_II",1.65095351695049e-07,0.549685540099234
"41","AKR1B1",0.924599242849693,2.97753517232569e-09,2.15429091799703e-08,"P15336","Cyclic AMP-dependent transcription factor ATF-2","ATF2","Neurology",0,0
"42","AKT1S1",0.631098548848054,4.25679215696216e-08,2.75889212301561e-07,"P48047","ATP synthase subunit O, mitochondrial","ATP5PO","Neurology",0,0
"43","AKT2",1.84835860606662,3.92828892759501e-17,9.11300677409541e-16,"Q16864","V-type proton ATPase subunit F","ATP6V1F","Neurology",4.67473307299264e-07,0.852392752348366
"44","AKT3",0.218352438351437,0.00194386282762978,0.00667674623403273,"Q9UBB4","Ataxin-10","ATXN10","Neurology",5.18374552280136e-05,0.605483067210319
"45","ALDH1A1",0.690106408584705,1.4325090091667e-07,8.7233829870714e-07,"Q99700","Ataxin-2","ATXN2","Neurology_II",0,0
"46","ALDH3A1",0.271135471292539,0.00564908272939346,0.0170405250959929,"Q8WWM7","Ataxin-2-like protein","ATXN2L","Neurology_II",0.0856266087152341,0.14383541384423
"47","AMFR",0.282460398514182,0.00318655687110465,0.010422311956164,"P54252","Ataxin-3","ATXN3","Neurology_II",5.71277821813923e-09,0.754859443766366
"48","AMPD3",0.394434177578422,0.0014691749899795,0.00515534033098448,"Q9H6S1","5-azacytidine-induced protein 2","AZI2","Neurology_II",0,0
"49","ANG",0.198474213041217,0.000810096196861824,0.0029710303430704,"O43505","Beta-1,4-glucuronyltransferase 1","B4GAT1","Neurology",0,0
"50","ANGPT1",1.15471882985414,1.12895358571659e-16,2.35709380789256e-15,"O95817","BAG family molecular chaperone regulator 3","BAG3","Neurology",0,0
"51","ANGPTL2",0.271357915131869,0.000250817394305582,0.000994761524498259,"Q8IXM2","Chromatin complexes subunit BAP18","BAP18","Neurology_II",0.0134789046507383,0.384533725619161
"52","ANKMY2",0.565877838528925,1.04990782348982e-10,8.99964975970889e-10,"Q16520","Basic leucine zipper transcriptional factor ATF-like","BATF","Neurology_II",0.0050399988472014,0.614225946516063
"53","ANKRD54",0.299721152210382,0.00224809690692664,0.00759674827623882,"Q07812","Apoptosis regulator BAX","BAX","Neurology",6.79385085894868e-07,0.820167134770583
"54","ANXA1",0.290882647489319,0.00499968364128616,0.0153348114202303,"P50895","Basal cell adhesion molecule","BCAM","Neurology",0,0
"55","ANXA11",1.79244168175689,5.26100600763768e-19,2.02341060004275e-17,"Q96GW7","Brevican core protein","BCAN","Neurology",0.0361017249370396,-0.156451218931947
"56","ANXA2",0.502016702690773,0.000105515604827163,0.000443772824330645,"O15382","Branched-chain-amino-acid aminotransferase, mitochondrial","BCAT2","Neurology_II",0,0
"57","ANXA3",1.0793636974556,1.31775493475082e-16,2.71253357343425e-15,"Q07817","Bcl-2-like protein 1","BCL2L1","Neurology_II",7.50017062701492e-19,1.55406210022583
"58","ANXA4",0.744447027524505,1.03431862918451e-12,1.06454695531913e-11,"O14503","Class E basic helix-loop-helix protein 40","BHLHE40","Neurology_II",0,0
"59","AP1G2",0.526995622528999,2.65738523890222e-05,0.000122904067299228,"Q9UBW5","Bridging integrator 2","BIN2","Neurology",8.85172354442812e-07,0.56939599473035
"60","AP2B1",0.193165857220102,0.00142690643327417,0.0050251174752535,"Q6QNY1","Biogenesis of lysosome-related organelles complex 1 subunit 2","BLOC1S2","Neurology_II",0,0
"61","AP3B1",0.95049187154717,1.3192778863182e-15,2.24200538471402e-14,"Q6QNY0","Biogenesis of lysosome-related organelles complex 1 subunit 3","BLOC1S3","Neurology_II",3.11155165011411e-06,0.238002586222479
"62","AP3S2",0.231331599241761,0.000221484818047289,0.000889285883450859,"P30043","Flavin reductase","BLVRB","Neurology",0.000581341291781801,0.428944200158495
"63","APBB1IP",0.347540127053146,0.000173257067621099,0.00070829427784122,"P12644","Bone morphogenetic protein 4","BMP4","Neurology",0,0
"64","APEX1",0.730148993711419,3.27040402376477e-08,2.15787606353598e-07,"Q9Y3E2","BolA-like protein 1","BOLA1","Neurology_II",1.8889409427301e-05,0.44983630161462
"65","APLP1",-0.468459168600391,2.92560465867956e-07,1.72758432673139e-06,"P25440","Bromodomain-containing protein 2","BRD2","Neurology_II",0,0
"66","APOE",0.254780204448078,0.0139512000208577,0.0376540698623888,"Q8WUW1","Protein BRICK1","BRK1","Neurology",0,0
"67","APP",0.390304205572755,2.39572745283787e-10,1.96705374849581e-09,"Q0VDD7","Break repair meiotic recombinase recruitment factor 1","BRME1","Neurology_II",0,0
"68","APPL2",1.63074755378447,2.27330292275753e-18,6.71198428608107e-17,"Q8IWQ3","Serine/threonine-protein kinase BRSK2","BRSK2","Neurology_II",0.0188923425133232,0.216678279560371
"69","APRT",1.03694524414597,1.53116013554669e-19,7.58573063763215e-18,"Q10588","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2","BST1","Neurology",0,0
"70","AREG",0.237829800340855,0.0110275033719576,0.0306692600915624,"Q10589","Bone marrow stromal antigen 2","BST2","Neurology",0.00110278158248335,0.505687561265583
"71","ARF6",2.0205420102336,3.01473143528324e-18,8.63927449542443e-17,"Q9NSK7","Protein C19orf12","C19orf12","Neurology",0.00041019376131945,0.751793537956128
"72","ARFIP1",0.468440629731097,3.90949339327454e-07,2.25838916769594e-06,"Q07021","Complement component 1 Q subcomponent-binding protein, mitochondrial","C1QBP","Neurology_II",0.018231940231674,0.258384178980819
"73","ARG1",0.295372446157617,0.00282860085990961,0.00939647085710239,"Q9BXI9","Complement C1q tumor necrosis factor-related protein 6","C1QTNF6","Neurology_II",0,0
"74","ARHGAP1",0.663352741815491,3.52367363914399e-13,3.88667850838411e-12,"O14523","Phospholipid transfer protein C2CD2L","C2CD2L","Neurology",0,0
"75","ARHGAP45",0.363775760938047,3.77459272615581e-07,2.18870790545931e-06,"Q8N8R5","UPF0565 protein C2orf69","C2orf69","Neurology_II",0,0
"76","ARHGEF1",1.07302822254048,2.9299363047146e-10,2.36580215985656e-09,"Q9BRJ6","Uncharacterized protein C7orf50","C7orf50","Neurology_II",0.0337746416332324,0.138742851882611
"77","ARHGEF12",0.560883458497828,2.44762831322492e-11,2.16145545605935e-10,"P00918","Carbonic anhydrase 2","CA2","Neurology",3.57481433333521e-07,0.800860071511542
"78","ARID4B",0.303131371359009,0.0376245220114187,0.0881371210914093,"P23280","Carbonic anhydrase 6","CA6","Neurology",0,0
"79","ARL13B",0.503383357690485,7.03208768495029e-05,0.000306787944822533,"Q9NPB3","Calcium-binding protein 2","CABP2","Neurology_II",0,0
"80","ARL2BP",0.448504443631096,1.03397923288113e-07,6.43047084619477e-07,"Q13936","Voltage-dependent L-type calcium channel subunit alpha-1C","CACNA1C","Neurology_II",0,0
"81","ARSA",0.255015461848247,0.00257600422545724,0.00862504049371307,"Q02641","Voltage-dependent L-type calcium channel subunit beta-1","CACNB1","Neurology_II",0,0
"82","ARSB",0.705626114336548,3.52442801504149e-08,2.30467630603272e-07,"P54284","Voltage-dependent L-type calcium channel subunit beta-3","CACNB3","Neurology_II",1.74991494549837e-09,0.976068609398878
"83","ASAH1",0.498639471960467,8.82006251418867e-10,6.74896406517631e-09,"Q9ULU8","Calcium-dependent secretion activator 1","CADPS","Neurology_II",0,0
"84","ASGR1",0.172087439360448,0.00201816646323708,0.00689953283279763,"P22676","Calretinin","CALB2","Neurology",0,0
"85","ASPSCR1",0.549685540099234,2.4625923140281e-08,1.65095351695049e-07,"P01258","Calcitonin","CALCA","Neurology",0,0
"86","ASRGL1",0.652372434599746,4.78030428741438e-06,2.4342908418314e-05,"P10092","Calcitonin gene-related peptide 2","CALCB","Neurology_II",0,0
"87","ASS1",0.5077691908628,0.00176005490474445,0.00608833193676691,"P49069","Guided entry of tail-anchored proteins factor CAMLG","CAMLG","Neurology_II",0.0477564287619346,0.334378735689211
"88","ATG16L1",0.509996203989772,4.45577477324236e-07,2.54379485589598e-06,"Q5T5Y3","Calmodulin-regulated spectrin-associated protein 1","CAMSAP1","Neurology_II",2.0687358543787e-11,1.16571231478707
"89","ATG4A",0.571945704165012,2.07293032935082e-06,1.10166824594408e-05,"Q13938","Calcyphosin","CAPS","Neurology_II",0,0
"90","ATOX1",1.04668540967084,8.22658443773331e-19,2.89714533873427e-17,"Q9Y2V2","Calcium-regulated heat-stable protein 1","CARHSP1","Neurology",2.90435091026924e-05,0.494463224021441
"91","ATP5IF1",1.87848535322002,6.17907975735586e-21,6.02048337691706e-19,"O15234","Protein CASC3","CASC3","Neurology_II",2.04336567849949e-05,0.359446355516145
"92","ATP6V1F",0.852392752348366,7.43671186774402e-08,4.67473307299264e-07,"P29466","Caspase-1","CASP1","Neurology",0.0444512597487219,0.24441284854479
"93","ATP6V1G1",0.832736536680312,4.01639676800368e-11,3.49402611692701e-10,"Q92851","Caspase-10","CASP10","Neurology",0,0
"94","ATP6V1G2",0.351691909340473,0.00793027007793154,0.022973418669766,"P55210","Caspase-7","CASP7","Neurology_II",4.09897124734911e-06,0.530672747330281
"95","ATRN",0.0796071245092873,0.0168665113879397,0.0444151466549078,"P23435","Cerebellin-1","CBLN1","Neurology_II",0,0
"96","ATXN10",0.605483067210319,1.05696624412919e-05,5.18374552280136e-05,"Q6P1N0","Coiled-coil and C2 domain-containing protein 1A","CC2D1A","Neurology",8.67431247376578e-13,0.753304975733967
"97","ATXN2L",0.14383541384423,0.0362953705775488,0.0856266087152341,"Q8N163","Cell cycle and apoptosis regulator protein 2","CCAR2","Neurology_II",0,0
"98","ATXN3",0.754859443766366,7.42680712587378e-10,5.71277821813923e-09,"Q8IWP9","Coiled-coil domain-containing protein 28A","CCDC28A","Neurology_II",0,0
"99","AXIN1",0.76182104049293,1.48393821815638e-14,2.05571156951237e-13,"Q8IVM0","Coiled-coil domain-containing protein 50","CCDC50","Neurology_II",0,0
"100","AZU1",0.266864778326632,0.0290497015856534,0.0703498572782643,"Q99731","C-C motif chemokine 19","CCL19","Neurology",0.00797130518314585,0.326043791646624
"101","B2M",0.15758172410547,0.0107151938470615,0.0298859843654207,"P13500","C-C motif chemokine 2","CCL2","Neurology",0,0
"102","B3GNT7",0.205778693954529,0.00308942832031174,0.0101579291116662,"O76076","CCN family member 5","CCN5","Neurology",0,0
"103","BACH1",0.171985845335113,0.000580135248687011,0.0021768104389116,"O14618","Copper chaperone for superoxide dismutase","CCS","Neurology",8.18032497524334e-07,0.554421528190376
"104","BAG4",0.183262664203423,0.0119815004671389,0.0328844374323446,"Q6YHK3","CD109 antigen","CD109","Neurology",0,0
"105","BAG6",0.16531278101055,0.00744435365104378,0.0216731531095627,"Q04900","Sialomucin core protein 24","CD164","Neurology",1.14604719408097e-05,0.224072956895802
"106","BAIAP2",0.683068724630486,9.94154319590911e-07,5.53507252602711e-06,"Q6UWJ8","CD164 sialomucin-like 2 protein","CD164L2","Neurology_II",0,0
"107","BANK1",0.906066688533637,1.37234611248705e-11,1.24964725445472e-10,"Q8N6Q3","CD177 antigen","CD177","Neurology",0,0
"108","BAP18",0.384533725619161,0.00426547615529693,0.0134789046507383,"Q9NZQ7","Programmed cell death 1 ligand 1","CD274","Neurology",0.0956311205735795,0.136201676176005
"109","BATF",0.614225946516063,0.00143285632638535,0.0050399988472014,"Q08708","CMRF35-like molecule 6","CD300C","Neurology",0,0
"110","BAX",0.820167134770583,1.09705699809229e-07,6.79385085894868e-07,"Q6UXG3","CMRF35-like molecule 9","CD300LG","Neurology",0,0
"111","BCAN",-0.156451218931947,0.0132401810237792,0.0361017249370396,"P28906","Hematopoietic progenitor cell antigen CD34","CD34","Neurology",0.0992157498111637,-0.0790613585893174
"112","BCL2L1",1.55406210022583,8.46752072157004e-21,7.50017062701492e-19,"P04234","T-cell surface glycoprotein CD3 delta chain","CD3D","Neurology_II",0,0
"113","BCL2L11",0.339483803528797,0.00643221549085232,0.0191265166630329,"P08962","CD63 antigen","CD63","Neurology",3.4955389823513e-07,0.472549582477837
"114","BCL2L15",0.335541526787744,0.00217570954499368,0.00736917612979898,"P04233","HLA class II histocompatibility antigen gamma chain","CD74","Neurology",0.00147436815982234,0.262375114458319
"115","BCR",0.541580020763927,1.68220630058837e-09,1.24483266243539e-08,"P01732","T-cell surface glycoprotein CD8 alpha chain","CD8A","Neurology",0,0
"116","BDNF",2.04519276994718,1.63887593794445e-15,2.68305422258252e-14,"P14209","CD99 antigen","CD99","Neurology",0.015186072492789,0.103227176712599
"117","BECN1",0.870429563736568,5.56824862330788e-10,4.36353638764851e-09,"Q8TCZ2","CD99 antigen-like protein 2","CD99L2","Neurology",0,0
"118","BID",0.952474485245749,2.55095997799548e-08,1.70628284111688e-07,"Q8IWY9","Codanin-1","CDAN1","Neurology_II",0,0
"119","BIN2",0.56939599473035,1.45661273515906e-07,8.85172354442812e-07,"Q9H5V8","CUB domain-containing protein 1","CDCP1","Neurology",0.00318412806926362,0.371854594407308
"120","BIRC2",0.223615336096854,0.00875630260909342,0.024994797389043,"P55291","Cadherin-15","CDH15","Neurology",0,0
"121","BLMH",0.312293864451735,1.29705818318388e-06,7.06015096731186e-06,"Q9H251","Cadherin-23","CDH23","Neurology_II",0,0
"122","BLNK",0.188817025679065,0.0138263754502083,0.037420829111999,"P22223","Cadherin-3","CDH3","Neurology",0,0
"123","BLOC1S3",0.238002586222479,5.4822069784768e-07,3.11155165011411e-06,"P55283","Cadherin-4","CDH4","Neurology_II",0,0
"124","BLVRB",0.428944200158495,0.000141208456094792,0.000581341291781801,"Q96JP9","Cadherin-related family member 1","CDHR1","Neurology",0,0
"125","BNIP2",0.44079076925159,6.66364560339003e-10,5.16653477419339e-09,"Q96JB5","CDK5 regulatory subunit-associated protein 3","CDK5RAP3","Neurology_II",0.0135760641006843,0.247529269931106
"126","BNIP3L",0.238149503410341,0.00473492854163188,0.0146767721391198,"O76039","Cyclin-dependent kinase-like 5","CDKL5","Neurology_II",0,0
"127","BOLA1",0.44983630161462,3.67060710048135e-06,1.8889409427301e-05,"Q8N111","Cell cycle exit and neuronal differentiation protein 1","CEND1","Neurology_II",0,0
"128","BOLA2_BOLA2B",0.646980647350728,1.01653476988686e-07,6.33546083662964e-07,"Q9Y5P4","Ceramide transfer protein","CERT","Neurology",5.25403197077068e-05,0.634930511737964
"129","BPIFA2",-0.607071599367478,0.00277494295477717,0.00923822124921832,"P41208","Centrin-2","CETN2","Neurology",2.33872569028305e-07,0.891189613404019
"130","BRAP",0.84882547397612,2.03897693514242e-14,2.74651132784391e-13,"P01215","Glycoprotein hormones alpha chain","CGA","Neurology",0,0
"131","BRDT",0.318261838787303,5.75395742504364e-05,0.000253295445081364,"Q9P2M7","Cingulin","CGN","Neurology_II",0.0161695326749819,0.245801277423782
"132","BRSK2",0.216678279560371,0.00633582835948405,0.0188923425133232,"Q8WYQ3","Coiled-coil-helix-coiled-coil-helix domain-containing protein 10, mitochondrial","CHCHD10","Neurology_II",0.0258235053926631,0.222788431673547
"133","BST2",0.505687561265583,0.000280317042690774,0.00110278158248335,"P05060","Secretogranin-1","CHGB","Neurology",0.0694149190775776,-0.183729230706358
"134","BTC",0.370248943609752,0.000104916741670747,0.000441889965278952,"P24386","Rab proteins geranylgeranyltransferase component A 1","CHM","Neurology_II",0.0253242968651469,0.284585321198292
"135","BTD",0.0770365139025269,0.0411706914327528,0.0953581070189672,"Q9HD42","Charged multivesicular body protein 1a","CHMP1A","Neurology",1.74484520875903e-14,1.11815684619989
"136","C19orf12",0.751793537956128,9.62685324205072e-05,0.00041019376131945,"Q99653","Calcineurin B homologous protein 1","CHP1","Neurology_II",0,0
"137","C1QBP",0.258384178980819,0.00608770908864654,0.018231940231674,"P11229","Muscarinic acetylcholine receptor M1","CHRM1","Neurology_II",0,0
"138","C1QTNF1",0.155360630666275,0.010851108133448,0.0302074181657795,"O14578","Citron Rho-interacting kinase","CIT","Neurology_II",0.00199594484805802,0.318370865916793
"139","C1RL",0.079796916466499,0.0317742835181718,0.0760657090283507,"Q8IUN9","C-type lectin domain family 10 member A","CLEC10A","Neurology",0,0
"140","C2",0.159100955171069,0.00796656861024012,0.0230329179502788,"Q9Y240","C-type lectin domain family 11 member A","CLEC11A","Neurology",0,0
"141","C3",0.252881774297741,0.00104964292932595,0.00378311502147934,"Q86T13","C-type lectin domain family 14 member A","CLEC14A","Neurology",0,0
"142","C7orf50",0.138742851882611,0.0123520670222119,0.0337746416332324,"Q9P126","C-type lectin domain family 1 member B","CLEC1B","Neurology",6.16281799848134e-17,0.897166456383811
"143","C9orf40",0.542666496200103,0.000326228457529919,0.00127142104181327,"P0C7M8","C-type lectin domain family 2 member L","CLEC2L","Neurology_II",0,0
"144","CA1",0.462665110682334,5.53327895636618e-05,0.000244316833677618,"O14967","Calmegin","CLGN","Neurology_II",0,0
"145","CA13",1.93520698186056,6.80525882371266e-18,1.80834286742837e-16,"Q9NZA1","Chloride intracellular channel protein 5","CLIC5","Neurology_II",0,0
"146","CA2",0.800860071511542,5.58908706922406e-08,3.57481433333521e-07,"P54105","Methylosome subunit pICln","CLNS1A","Neurology_II",0.00182743401724663,0.252981517930187
"147","CA3",0.344439722542454,0.00234452549848153,0.00790432298969034,"Q16740","ATP-dependent Clp protease proteolytic subunit, mitochondrial","CLPP","Neurology",1.58704968556676e-10,0.836079023518951
"148","CA5A",0.679685567266473,0.000638323974617801,0.00237684200994628,"P04118","Colipase","CLPS","Neurology",0,0
"149","CA7",-0.185125329834671,0.0325231050109636,0.0777310187629162,"Q9HAW4","Claspin","CLSPN","Neurology",0,0
"150","CACNB3",0.976068609398878,2.11929487070278e-10,1.74991494549837e-09,"O94985","Calsyntenin-1","CLSTN1","Neurology",0,0
"151","CACYBP",1.66845943630372,4.03236227355465e-21,4.53330574061548e-19,"Q9BQT9","Calsyntenin-3","CLSTN3","Neurology_II",0.0693853808699134,0.135808598444261
"152","CALCOCO1",0.491713968668712,2.99725169655006e-06,1.5561219731822e-05,"Q9NQW8","Cyclic nucleotide-gated cation channel beta-3","CNGB3","Neurology_II",0,0
"153","CALCOCO2",0.395744517712692,2.08949829077342e-05,9.91494075313428e-05,"P26441","Ciliary neurotrophic factor","CNTF","Neurology_II",0,0
"154","CAMLG",0.334378735689211,0.0183314105613721,0.0477564287619346,"Q9P232","Contactin-3","CNTN3","Neurology",0,0
"155","CAMSAP1",1.16571231478707,2.09492238418096e-12,2.0687358543787e-11,"Q8IWV2","Contactin-4","CNTN4","Neurology",0,0
"156","CANT1",0.147529111477366,0.00320820395308154,0.0104777431897848,"O94779","Contactin-5","CNTN5","Neurology",0,0
"157","CAPN3",0.238572831345448,0.00494302006842993,0.015186072492789,"Q9C0A0","Contactin-associated protein-like 4","CNTNAP4","Neurology_II",0,0
"158","CARHSP1",0.494463224021441,5.73318670963171e-06,2.90435091026924e-05,"Q2UY09","Collagen alpha-1(XXVIII) chain","COL28A1","Neurology_II",0,0
"159","CASC3",0.359446355516145,3.99165857825251e-06,2.04336567849949e-05,"O14579","Coatomer subunit epsilon","COPE","Neurology",0,0
"160","CASP1",0.24441284854479,0.0168954326311427,0.0444512597487219,"Q6QEF8","Coronin-6","CORO6","Neurology_II",0,0
"161","CASP2",0.23090556515323,0.00116510358118531,0.00416332245452891,"P48052","Carboxypeptidase A2","CPA2","Neurology",0,0
"162","CASP3",1.52928756409632,4.28763796347009e-23,1.39252952969145e-20,"P14384","Carboxypeptidase M","CPM","Neurology",0.00627126043308057,0.268272112847555
"163","CASP7",0.530672747330281,7.30606917505605e-07,4.09897124734911e-06,"Q9BRF8","Serine/threonine-protein phosphatase CPPED1","CPPED1","Neurology",4.81618838801024e-05,0.48565693819474
"164","CASP8",0.701326655325804,3.80459602841578e-12,3.64617514460962e-11,"P78560","Death domain-containing protein CRADD","CRADD","Neurology",8.83306006432105e-16,1.13681109288462
"165","CASP9",0.302086207298948,0.00701390395638676,0.0205427267179544,"P52943","Cysteine-rich protein 2","CRIP2","Neurology",0,0
"166","CAT",0.498314390211593,1.1687270511529e-06,6.39735799722834e-06,"O95727","Cytotoxic and regulatory T-cell molecule","CRTAM","Neurology",0,0
"167","CBS",0.552075697717162,0.000263907000600637,0.00104201297392906,"O75718","Cartilage-associated protein","CRTAP","Neurology_II",0,0
"168","CC2D1A",0.753304975733967,7.03322633008036e-14,8.67431247376578e-13,"P43320","Beta-crystallin B2","CRYBB2","Neurology_II",0,0
"169","CCDC134",0.323658578101506,0.000537310115755106,0.00202391426334043,"P07320","Gamma-crystallin D","CRYGD","Neurology_II",9.39628926821021e-10,1.05133925795756
"170","CCL11",0.138007091541201,0.020850157725298,0.0531342729128561,"Q14894","Ketimine reductase mu-crystallin","CRYM","Neurology_II",0.0533135056357307,0.221612068917341
"171","CCL13",0.410726711683942,4.23881904263725e-05,0.000190031718736636,"P15509","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha","CSF2RA","Neurology",0,0
"172","CCL15",0.218934261519068,0.0114269213720504,0.0315698404258065,"P68400","Casein kinase II subunit alpha","CSNK2A1","Neurology_II",9.1260687276372e-08,0.526277441229361
"173","CCL17",1.04004053592207,2.71859750582291e-10,2.20735014153343e-09,"O95196","Chondroitin sulfate proteoglycan 5","CSPG5","Neurology_II",0,0
